number,value,params_activation,params_batch_size,params_beta,params_beta_warmup_rounds,params_clip_abs,params_dropout,params_first_layer,params_grad_clip,params_latent_dim,params_layer_1_dropoff,params_layer_2_dropoff,params_layer_3_dropoff,params_local_epochs,params_lr,params_n_layers,params_recon_type,params_score_type,params_sgd_momentum,params_sgd_nesterov,params_weight_decay,user_attrs_NF-CICIDS2018-v3__test_auroc,user_attrs_NF-CICIDS2018-v3__val_auroc,user_attrs_NF-ToN-IoT-v3__test_auroc,user_attrs_NF-ToN-IoT-v3__val_auroc,user_attrs_activation,user_attrs_batch_size,user_attrs_beta,user_attrs_beta_warmup_rounds,user_attrs_clip_abs,user_attrs_clip_max,user_attrs_clip_min,user_attrs_dropout,user_attrs_early_stop_patience,user_attrs_epochs_matched,user_attrs_epochs_per_round,user_attrs_first_layer,user_attrs_grad_clip,user_attrs_hidden_dims,user_attrs_hpo_seeds,user_attrs_latent_dim,user_attrs_layer_1_dropoff,user_attrs_layer_2_dropoff,user_attrs_layer_3_dropoff,user_attrs_local_epochs,user_attrs_lr,user_attrs_max_rounds,user_attrs_n_layers,user_attrs_optimizer,user_attrs_recon_type,user_attrs_rounds,user_attrs_score_type,user_attrs_seed_seen_obj_mean,user_attrs_seed_seen_obj_std,user_attrs_seen_test_mean,user_attrs_seen_test_min,user_attrs_sgd_momentum,user_attrs_sgd_nesterov,user_attrs_train__best_metric,user_attrs_train__history_len,user_attrs_unseen__test_auroc,user_attrs_unseen__val_auroc,user_attrs_unseen_test_n,user_attrs_unseen_val_n,user_attrs_weight_decay,state
0,0.7841138012615699,relu,512,0.870804191700653,5,6.0,0.1692425840497844,338,5.0,95,0.6134257267821015,0.7756573845414456,,1,0.004307355413840528,3,mse,recon,0.8069602043739,False,0.0001,0.7495572885795414,0.753896643159824,0.8166077890113861,0.814330959363316,relu,512,0.870804191700653,5,6.0,6.0,-6.0,0.1692425840497844,8,120,1,338,5.0,"[338, 207, 160]","[42, 43, 44, 45]",95,0.6124260355029586,0.7729468599033816,,1,0.004307355413840528,120,3,sgd,mse,120,recon,0.7841138012615699,0.0019812364893312083,0.7830825387954637,0.7495572885795414,0.8069602043739,False,0.7842995800568644,50.75,0.47077275746508074,0.47040365546222435,7290.0,5832.0,0.0001,COMPLETE
1,0.773761618763889,leakyrelu,64,1.2471330196850028,1,8.0,0.10018214615860269,175,2.0,112,0.6586427409101605,0.7074131059768158,,1,0.004987564371383458,3,mse,recon,0.5566397249341022,True,1e-10,0.7251147352199021,0.7285188995579942,0.8240609776061689,0.819004337969784,leakyrelu,64,1.2471330196850028,1,8.0,8.0,-8.0,0.10018214615860269,8,121,1,175,2.0,"[175, 115, 81]","[42, 43, 44, 45]",112,0.6571428571428571,0.7043478260869566,,1,0.004987564371383458,120,3,sgd,mse,120,recon,0.773761618763889,0.0009239347721538813,0.7745878564130355,0.7251147352199021,0.5566397249341022,True,0.773516354002608,14.0,0.44751059854245345,0.44547998390225824,7290.0,5832.0,1e-10,COMPLETE
2,0.6862836578989955,relu,512,0.14801245329920112,5,5.0,0.3700529958455945,728,,55,0.777191624858886,,,4,0.0012692690224631797,2,huber,recon+kl,0.487471746489052,False,1e-08,0.5474070404805049,0.5529405251476646,0.8225530962044705,0.8196267906503262,relu,512,0.14801245329920112,5,5.0,5.0,-5.0,0.3700529958455945,8,480,4,728,,"[728, 565]","[42, 43, 44, 45]",55,0.7760989010989011,,,4,0.0012692690224631797,120,2,sgd,huber,120,recon+kl,0.6862836578989955,0.0008601949991525498,0.6849800683424877,0.5474070404805049,0.487471746489052,False,0.6861889713533582,9.0,0.45651032758104854,0.46138078180362446,7290.0,5832.0,1e-08,COMPLETE
3,0.6872397038782292,elu,512,0.39364680343716085,12,5.0,0.3934523539646893,934,5.0,117,0.6038179305981622,0.6462447063962125,0.7600050765362417,2,0.0004439567439268961,4,mse,recon+kl,0.2820177367066455,False,1e-05,0.5476103273928807,0.5532460182550838,0.8240188656878186,0.8212333895013746,elu,512,0.39364680343716085,12,5.0,5.0,-5.0,0.3934523539646893,8,240,2,934,5.0,"[934, 563, 363, 275]","[42, 43, 44, 45]",117,0.6027837259100642,0.6447602131438721,0.7575757575757576,2,0.0004439567439268961,120,4,sgd,mse,120,recon+kl,0.6872397038782292,0.0002522027604802775,0.6858145965403497,0.5476103273928807,0.2820177367066455,False,0.6873511711554057,9.75,0.45673263824206256,0.4615232305890965,7290.0,5832.0,1e-05,COMPLETE
4,0.7470162712676478,elu,512,1.1375582460015305,7,6.0,0.23306843514456188,799,5.0,18,0.7828210006129415,,,5,0.0017824536581493996,2,huber,recon+kl,0.5341074597943604,True,0.0001,0.6855162661518399,0.6935975283474554,0.8027186837297084,0.8004350141878402,elu,512,1.1375582460015305,7,6.0,6.0,-6.0,0.23306843514456188,8,600,5,799,5.0,"[799, 625]","[42, 43, 44, 45]",18,0.7822277847309136,,,5,0.0017824536581493996,120,2,sgd,huber,120,recon+kl,0.7470162712676478,0.0007734217152662518,0.7441174749407742,0.6855162661518399,0.5341074597943604,True,0.7508510028629707,27.5,0.468621587344597,0.46502772062185643,7290.0,5832.0,0.0001,COMPLETE
5,0.8024648873299199,relu,128,1.9353680216575784,3,5.0,0.2613459485412163,585,,16,,,,5,0.0011565851294673551,1,mse,recon,0.8032563467344402,True,1e-06,0.7799099805999161,0.7824806751831341,0.8307355190886665,0.8224490994767057,relu,128,1.9353680216575784,3,5.0,5.0,-5.0,0.2613459485412163,8,604,5,585,,[585],"[42, 43, 44, 45]",16,,,,5,0.0011565851294673551,120,1,sgd,mse,120,recon,0.8024648873299199,0.004509675065067715,0.8053227498442913,0.7799099805999161,0.8032563467344402,True,0.8050911048921705,29.5,0.42561404746716947,0.43089194931798636,7290.0,5832.0,1e-06,COMPLETE
6,0.7617976701552948,elu,64,1.9586915934766993,3,6.0,0.15007421099311924,582,1.0,127,0.8131546808549281,0.5027727042034522,0.7424547217212796,3,0.0003335500512764793,4,mse,recon,0.253560524051578,False,0.0,,,,,elu,64,1.9586915934766993,3,6.0,6.0,-6.0,0.15007421099311924,8,361,3,582,1.0,"[582, 473, 237, 175]",,127,0.8127147766323024,0.5010570824524313,0.7383966244725738,3,0.0003335500512764793,120,4,sgd,mse,120,recon,,,,,0.253560524051578,False,,,,,,,0.0,PRUNED
7,0.6770180626824049,elu,128,0.1023450253648446,1,8.0,0.3108649846282409,89,1.0,23,0.9437967302338874,0.508059315211687,,5,0.0005048304188888196,3,huber,recon,0.5666625534246501,True,1e-10,,,,,elu,128,0.1023450253648446,1,8.0,8.0,-8.0,0.3108649846282409,8,604,5,89,1.0,"[89, 83, 42]",,23,0.9325842696629213,0.5060240963855421,,5,0.0005048304188888196,120,3,sgd,huber,120,recon,,,,,0.5666625534246501,True,,,,,,,1e-10,PRUNED
8,0.7766530056958345,gelu,256,0.2843123798463446,10,5.0,0.07934627561068766,545,5.0,120,0.5017661054831242,0.7404445219374811,,8,0.0014147335594241423,3,mse,recon,0.23010881616765388,False,1e-10,,,,,gelu,256,0.2843123798463446,10,5.0,5.0,-5.0,0.07934627561068766,8,960,8,545,5.0,"[545, 273, 202]",,120,0.5009174311926605,0.73992673992674,,8,0.0014147335594241423,120,3,sgd,mse,120,recon,,,,,0.23010881616765388,False,,,,,,,1e-10,PRUNED
9,0.6766067693779743,leakyrelu,512,0.7175251725080278,12,3.0,0.08620217891026392,413,2.0,89,0.7822851712980718,0.5956678603602783,,6,0.007931301977854554,3,huber,recon+kl,0.2256043089888526,True,1e-08,,,,,leakyrelu,512,0.7175251725080278,12,3.0,3.0,-3.0,0.08620217891026392,8,720,6,413,2.0,"[413, 323, 192]",,89,0.7820823244552058,0.5944272445820433,,6,0.007931301977854554,120,3,sgd,huber,120,recon+kl,,,,,0.2256043089888526,True,,,,,,,1e-08,PRUNED
10,0.8502179098902795,relu,128,1.9732522722889363,15,4.0,0.003224457361608174,1016,,46,,,,7,0.0008238317088329146,1,mse,recon,0.9369746035816005,True,1e-06,0.8772203029122706,0.8745869279233255,0.8364607548156804,0.8258488918572335,relu,128,1.9732522722889363,15,4.0,4.0,-4.0,0.003224457361608174,8,845,7,1016,,[1016],"[42, 43, 44, 45]",46,,,,7,0.0008238317088329146,120,1,sgd,mse,120,recon,0.8502179098902795,0.003855451831974623,0.8568405288639755,0.8364607548156804,0.9369746035816005,True,0.8505435354653668,9.75,0.4099615761674391,0.4168781347553162,7290.0,5832.0,1e-06,COMPLETE
11,0.8156732414792986,relu,128,1.810702982127566,15,4.0,0.00099658985452627,991,,43,,,,7,0.018030395601769594,1,mse,recon,0.9219181141926562,True,1e-06,0.8199028114127439,0.8183262729305794,0.8239024181423714,0.8130202100280182,relu,128,1.810702982127566,15,4.0,4.0,-4.0,0.00099658985452627,8,845,7,991,,[991],"[42, 43, 44, 45]",43,,,,7,0.018030395601769594,120,1,sgd,mse,120,recon,0.8156732414792986,0.008482603825755363,0.8219026147775577,0.8199028114127439,0.9219181141926562,True,0.8191476099886912,15.75,0.3982066212429978,0.40242024455678055,7290.0,5832.0,1e-06,COMPLETE
12,0.8332082239020889,relu,128,0.6126702474094222,15,4.0,0.011394245207162047,984,,49,,,,8,0.010130678419764975,1,mse,recon,0.9289179321517094,True,1e-06,0.8654254658560405,0.8643764224297712,0.8175566619812924,0.8020400253744066,relu,128,0.6126702474094222,15,4.0,4.0,-4.0,0.011394245207162047,8,966,8,984,,[984],"[42, 43, 44, 45]",49,,,,8,0.010130678419764975,120,1,sgd,mse,120,recon,0.8332082239020889,0.003062565530339842,0.8414910639186665,0.8175566619812924,0.9289179321517094,True,0.832054388739766,9.0,0.45206641941438463,0.456775378757943,7290.0,5832.0,1e-06,COMPLETE
13,0.8340769483348105,relu,128,0.5597882145383258,15,4.0,0.012769677798853296,833,,59,,,,8,0.015319991329529908,1,mse,recon,0.9464259264544416,True,1e-06,0.8513045286306477,0.853415245648153,0.8253982003646689,0.814738651021468,relu,128,0.5597882145383258,15,4.0,4.0,-4.0,0.012769677798853296,8,966,8,833,,[833],"[42, 43, 44, 45]",59,,,,8,0.015319991329529908,120,1,sgd,mse,120,recon,0.8340769483348105,0.00356884806565875,0.8383513644976583,0.8253982003646689,0.9464259264544416,True,0.8324436090977173,9.0,0.4745764252287648,0.4803194874877926,7290.0,5832.0,1e-06,COMPLETE
14,0.7525173890422455,gelu,128,0.23943765877727272,12,4.0,0.04137048158298101,793,,74,0.9962584164530706,,,7,0.0007116107273100454,2,mse,recon,0.0012889620887366893,True,1e-06,,,,,gelu,128,0.23943765877727272,12,4.0,4.0,-4.0,0.04137048158298101,8,845,7,793,,"[793, 790]",,74,0.9962168978562421,,,7,0.0007116107273100454,120,2,sgd,mse,120,recon,,,,,0.0012889620887366893,True,,,,,,,1e-06,PRUNED
15,0.8520537425015194,relu,256,0.44203316539292997,14,4.0,0.13457894393268097,867,,34,,,,7,0.0038135874119708435,1,mse,recon,0.7534579906561953,True,1e-06,0.8852906907822318,0.8844945717163335,0.8319485135697096,0.8196129132867054,relu,256,0.44203316539292997,14,4.0,4.0,-4.0,0.13457894393268097,8,840,7,867,,[867],"[42, 43, 44, 45]",34,,,,7,0.0038135874119708435,120,1,sgd,mse,120,recon,0.8520537425015194,0.0043312446595606445,0.8586196021759707,0.8319485135697096,0.7534579906561953,True,0.852090420491174,11.5,0.4300182146277761,0.43467572129361487,7290.0,5832.0,1e-06,COMPLETE
16,0.8472541519190278,relu,256,0.4215888592307749,10,4.0,0.16121916499265065,693,,39,,,,6,0.00284392284763397,1,mse,recon,0.715815382890913,True,1e-05,0.8727218731712456,0.8703702086638029,0.8373354144674574,0.8241380951742526,relu,256,0.4215888592307749,10,4.0,4.0,-4.0,0.16121916499265065,8,720,6,693,,[693],"[42, 43, 44, 45]",39,,,,6,0.00284392284763397,120,1,sgd,mse,120,recon,0.8472541519190278,0.0022846940569110482,0.8550286438193515,0.8373354144674574,0.715815382890913,True,0.8480875949188151,13.5,0.4390066253826859,0.443720719350784,7290.0,5832.0,1e-05,COMPLETE
17,0.7599150528939242,relu,256,0.25353556230781693,13,3.0,0.124825101081574,898,,30,0.8988050756150625,,,7,0.0028623693925176955,2,mse,recon,0.6993114965107714,True,0.0,,,,,relu,256,0.25353556230781693,13,3.0,3.0,-3.0,0.124825101081574,8,840,7,898,,"[898, 807]",,30,0.8986636971046771,,,7,0.0028623693925176955,120,2,sgd,mse,120,recon,,,,,0.6993114965107714,True,,,,,,,0.0,PRUNED
