number,value,params_activation,params_batch_size,params_beta,params_beta_warmup_rounds,params_clip_abs,params_dropout,params_first_layer,params_grad_clip,params_latent_dim,params_layer_1_dropoff,params_layer_2_dropoff,params_layer_3_dropoff,params_local_epochs,params_lr,params_n_layers,params_recon_type,params_score_type,params_sgd_momentum,params_sgd_nesterov,params_weight_decay,user_attrs_NF-BoT-IoT-v3__test_auroc,user_attrs_NF-BoT-IoT-v3__val_auroc,user_attrs_NF-ToN-IoT-v3__test_auroc,user_attrs_NF-ToN-IoT-v3__val_auroc,user_attrs_activation,user_attrs_batch_size,user_attrs_beta,user_attrs_beta_warmup_rounds,user_attrs_clip_abs,user_attrs_clip_max,user_attrs_clip_min,user_attrs_dropout,user_attrs_early_stop_patience,user_attrs_epochs_matched,user_attrs_epochs_per_round,user_attrs_first_layer,user_attrs_grad_clip,user_attrs_hidden_dims,user_attrs_hpo_seeds,user_attrs_latent_dim,user_attrs_layer_1_dropoff,user_attrs_layer_2_dropoff,user_attrs_layer_3_dropoff,user_attrs_local_epochs,user_attrs_lr,user_attrs_max_rounds,user_attrs_n_layers,user_attrs_optimizer,user_attrs_recon_type,user_attrs_rounds,user_attrs_score_type,user_attrs_seed_seen_obj_mean,user_attrs_seed_seen_obj_std,user_attrs_seen_test_mean,user_attrs_seen_test_min,user_attrs_sgd_momentum,user_attrs_sgd_nesterov,user_attrs_train__best_metric,user_attrs_train__history_len,user_attrs_unseen__test_auroc,user_attrs_unseen__val_auroc,user_attrs_unseen_test_n,user_attrs_unseen_val_n,user_attrs_weight_decay,state
0,0.8156844506845539,relu,512,0.870804191700653,5,6.0,0.1692425840497844,338,5.0,95,0.6134257267821015,0.7756573845414456,,1,0.004307355413840528,3,mse,recon,0.8069602043739,False,0.0001,0.8031191609228494,0.8135434630796269,0.8205933113929862,0.8178254382894808,relu,512,0.870804191700653,5,6.0,6.0,-6.0,0.1692425840497844,8,120,1,338,5.0,"[338, 207, 160]","[42, 43, 44, 45]",95,0.6124260355029586,0.7729468599033816,,1,0.004307355413840528,120,3,sgd,mse,120,recon,0.8156844506845539,0.028060574154936273,0.8118562361579178,0.8031191609228494,0.8069602043739,False,0.8159985215903552,24.0,0.6281775305254959,0.6400465462064462,7290.0,5832.0,0.0001,COMPLETE
1,0.8259388007088275,leakyrelu,64,1.2471330196850028,1,8.0,0.10018214615860269,175,2.0,112,0.6586427409101605,0.7074131059768158,,1,0.004987564371383458,3,mse,recon,0.5566397249341022,True,1e-10,0.8814395012804808,0.8891298904770237,0.7578503540374188,0.7627477109406313,leakyrelu,64,1.2471330196850028,1,8.0,8.0,-8.0,0.10018214615860269,8,121,1,175,2.0,"[175, 115, 81]","[42, 43, 44, 45]",112,0.6571428571428571,0.7043478260869566,,1,0.004987564371383458,120,3,sgd,mse,120,recon,0.8259388007088275,0.0035794780268720156,0.8196449276589498,0.7578503540374188,0.5566397249341022,True,0.8264301755157205,16.25,0.6098993114945968,0.6160089825352203,7290.0,5832.0,1e-10,COMPLETE
2,0.662025996888648,relu,512,0.14801245329920112,5,5.0,0.3700529958455945,728,,55,0.777191624858886,,,4,0.0012692690224631797,2,huber,recon+kl,0.487471746489052,False,1e-08,0.4803712923918177,0.4868516389872065,0.8433949206026633,0.8372003547900896,relu,512,0.14801245329920112,5,5.0,5.0,-5.0,0.3700529958455945,8,480,4,728,,"[728, 565]","[42, 43, 44, 45]",55,0.7760989010989011,,,4,0.0012692690224631797,120,2,sgd,huber,120,recon+kl,0.662025996888648,0.00028126686538094156,0.6618831064972405,0.4803712923918177,0.487471746489052,False,0.6620786838284964,10.5,0.5462775171655931,0.5515409254037608,7290.0,5832.0,1e-08,COMPLETE
3,0.6622089678699046,elu,512,0.39364680343716085,12,5.0,0.3934523539646893,934,5.0,117,0.6038179305981622,0.6462447063962125,0.7600050765362417,2,0.0004439567439268961,4,mse,recon+kl,0.2820177367066455,False,1e-05,0.48018636123294967,0.48678070860641165,0.8437508302897216,0.8376372271333976,elu,512,0.39364680343716085,12,5.0,5.0,-5.0,0.3934523539646893,8,240,2,934,5.0,"[934, 563, 363, 275]","[42, 43, 44, 45]",117,0.6027837259100642,0.6447602131438721,0.7575757575757576,2,0.0004439567439268961,120,4,sgd,mse,120,recon+kl,0.6622089678699046,0.00017291784781359615,0.6619685957613357,0.48018636123294967,0.2820177367066455,False,0.662173833442941,9.0,0.5468727855020595,0.5523422108474882,7290.0,5832.0,1e-05,COMPLETE
4,0.659398478323558,elu,512,1.1375582460015305,7,6.0,0.23306843514456188,799,5.0,18,0.7828210006129415,,,5,0.0017824536581493996,2,huber,recon+kl,0.5341074597943604,True,0.0001,0.47756147907293567,0.4840204951019963,0.8410497590513342,0.8347764615451199,elu,512,1.1375582460015305,7,6.0,6.0,-6.0,0.23306843514456188,8,600,5,799,5.0,"[799, 625]","[42, 43, 44, 45]",18,0.7822277847309136,,,5,0.0017824536581493996,120,2,sgd,huber,120,recon+kl,0.659398478323558,0.0002898253735201957,0.6593056190621349,0.47756147907293567,0.5341074597943604,True,0.6592464520991042,9.0,0.5533092666918811,0.5593057072657173,7290.0,5832.0,0.0001,COMPLETE
5,0.8010572904612178,relu,128,1.9353680216575784,3,5.0,0.2613459485412163,585,,16,,,,5,0.0011565851294673551,1,mse,recon,0.8032563467344402,True,1e-06,,,,,relu,128,1.9353680216575784,3,5.0,5.0,-5.0,0.2613459485412163,8,604,5,585,,[585],,16,,,,5,0.0011565851294673551,120,1,sgd,mse,120,recon,,,,,0.8032563467344402,True,,,,,,,1e-06,PRUNED
6,0.6578728871125863,elu,64,1.9586915934766993,3,6.0,0.15007421099311924,582,1.0,127,0.8131546808549281,0.5027727042034522,0.7424547217212796,3,0.0003335500512764793,4,mse,recon,0.253560524051578,False,0.0,,,,,elu,64,1.9586915934766993,3,6.0,6.0,-6.0,0.15007421099311924,8,361,3,582,1.0,"[582, 473, 237, 175]",,127,0.8127147766323024,0.5010570824524313,0.7383966244725738,3,0.0003335500512764793,120,4,sgd,mse,120,recon,,,,,0.253560524051578,False,,,,,,,0.0,PRUNED
7,0.6546869149162372,elu,128,0.1023450253648446,1,8.0,0.3108649846282409,89,1.0,23,0.9437967302338874,0.508059315211687,,5,0.0005048304188888196,3,huber,recon,0.5666625534246501,True,1e-10,,,,,elu,128,0.1023450253648446,1,8.0,8.0,-8.0,0.3108649846282409,8,604,5,89,1.0,"[89, 83, 42]",,23,0.9325842696629213,0.5060240963855421,,5,0.0005048304188888196,120,3,sgd,huber,120,recon,,,,,0.5666625534246501,True,,,,,,,1e-10,PRUNED
8,0.8153256899637025,gelu,256,0.2843123798463446,10,5.0,0.07934627561068766,545,5.0,120,0.5017661054831242,0.7404445219374811,,8,0.0014147335594241423,3,mse,recon,0.23010881616765388,False,1e-10,,,,,gelu,256,0.2843123798463446,10,5.0,5.0,-5.0,0.07934627561068766,8,960,8,545,5.0,"[545, 273, 202]",,120,0.5009174311926605,0.73992673992674,,8,0.0014147335594241423,120,3,sgd,mse,120,recon,,,,,0.23010881616765388,False,,,,,,,1e-10,PRUNED
9,0.6598713450787574,leakyrelu,512,0.7175251725080278,12,3.0,0.08620217891026392,413,2.0,89,0.7822851712980718,0.5956678603602783,,6,0.007931301977854554,3,huber,recon+kl,0.2256043089888526,True,1e-08,,,,,leakyrelu,512,0.7175251725080278,12,3.0,3.0,-3.0,0.08620217891026392,8,720,6,413,2.0,"[413, 323, 192]",,89,0.7820823244552058,0.5944272445820433,,6,0.007931301977854554,120,3,sgd,huber,120,recon+kl,,,,,0.2256043089888526,True,,,,,,,1e-08,PRUNED
