number,values_0,params_activation,params_batch_size,params_beta,params_beta_warmup_rounds,params_clip_abs,params_dropout,params_first_layer,params_grad_clip,params_latent_dim,params_layer_1_dropoff,params_layer_2_dropoff,params_layer_3_dropoff,params_local_epochs,params_lr,params_n_layers,params_recon_type,params_score_type,params_server_beta1,params_server_beta2,params_server_lr,params_server_tau,params_sgd_momentum,params_sgd_nesterov,params_weight_decay,user_attrs_NF-BoT-IoT-v3__test_auroc,user_attrs_NF-BoT-IoT-v3__val_auroc,user_attrs_NF-CICIDS2018-v3__test_auroc,user_attrs_NF-CICIDS2018-v3__val_auroc,user_attrs_NF-ToN-IoT-v3__test_auroc,user_attrs_NF-ToN-IoT-v3__val_auroc,user_attrs_activation,user_attrs_aggregation_method,user_attrs_batch_size,user_attrs_beta,user_attrs_beta_warmup_rounds,user_attrs_clip_abs,user_attrs_clip_max,user_attrs_clip_min,user_attrs_dropout,user_attrs_early_stop_patience,user_attrs_first_layer,user_attrs_grad_clip,user_attrs_hidden_dims,user_attrs_hpo_seeds,user_attrs_latent_dim,user_attrs_layer_1_dropoff,user_attrs_layer_2_dropoff,user_attrs_layer_3_dropoff,user_attrs_local_epochs,user_attrs_lr,user_attrs_n_layers,user_attrs_optimizer,user_attrs_recon_type,user_attrs_rounds,user_attrs_score_type,user_attrs_seed_seen_obj_mean,user_attrs_seed_seen_obj_std,user_attrs_seed_unseen_val_obj_mean,user_attrs_seed_unseen_val_obj_std,user_attrs_seen_test_mean,user_attrs_seen_test_min,user_attrs_server_beta1,user_attrs_server_beta2,user_attrs_server_bias_correction,user_attrs_server_lr,user_attrs_server_tau,user_attrs_sgd_momentum,user_attrs_sgd_nesterov,user_attrs_unseen__test_auroc,user_attrs_unseen__val_auroc,user_attrs_unseen_test_auroc,user_attrs_weight_decay,state
0,0.839315035676585,relu,512,0.870804191700653,5,6.0,0.1692425840497844,338,5.0,95,0.6134257267821015,0.7756573845414456,,1,0.004307355413840528,3,mse,recon,0.8817285481820321,0.9803706552988408,0.006483081872184876,0.00015719263179900134,0.8069602043739,False,0.0001,0.8401358194042235,0.8493608503813217,0.6558068722586327,0.6610081716502867,0.8335242764483735,0.8289550839133601,relu,fedadam,512,0.870804191700653,5,6.0,6.0,-6.0,0.1692425840497844,10,338,5.0,"[338, 207, 160]","[42, 43, 44, 45]",95,0.6124260355029586,0.7729468599033816,,1,0.004307355413840528,3,sgd,mse,120,recon,0.839315035676585,0.0033901134818522262,0.6610013652738498,0.011982828934753022,0.8368300479262984,0.8335242764483735,0.8817285481820321,0.9803706552988408,True,0.006483081872184876,0.00015719263179900134,0.8069602043739,False,0.6558068722586327,0.6610081716502867,0.6558068722586327,0.0001,COMPLETE
1,0.7380759782130095,relu,64,0.5556274239180459,1,8.0,0.0482514663961295,304,5.0,82,0.7415171321313522,0.9927798928053525,0.7597425596299047,5,0.00042546253279906115,4,mse,recon+kl,0.8543591463799041,0.9776192018352774,0.012446232584140782,0.000404769467477543,0.7254986993711713,False,1e-06,0.6315631368298645,0.6350084163858264,0.5257324613644788,0.5295963592383727,0.8472757182829326,0.8421161462420099,relu,fedadam,64,0.5556274239180459,1,8.0,8.0,-8.0,0.0482514663961295,2,304,5.0,"[304, 225, 223, 169]","[42, 43, 44, 45]",82,0.7401315789473685,0.9911111111111112,0.757847533632287,5,0.00042546253279906115,4,sgd,mse,120,recon+kl,0.7380759782130095,0.004078090971393981,0.5295809089108668,0.0010586636539606088,0.7394194275563986,0.6315631368298645,0.8543591463799041,0.9776192018352774,True,0.012446232584140782,0.000404769467477543,0.7254986993711713,False,0.5257324613644788,0.5295963592383727,0.5257324613644788,1e-06,COMPLETE
2,0.8428916909402926,leakyrelu,256,0.1669485269677149,13,5.0,0.30501912551417354,741,2.0,51,0.9976792410170088,,,1,0.010853370168215953,2,mse,recon+kl,0.9231073035844557,0.9740267253607303,0.011217354980526924,0.00046775979691543104,0.36559592071197305,True,1e-06,0.8437435576103463,0.8459151921379796,0.5592195370699664,0.5658834600171985,0.8441024685712994,0.8407568702358306,leakyrelu,fedadam,256,0.1669485269677149,13,5.0,5.0,-5.0,0.30501912551417354,10,741,2.0,"[741, 739]","[42, 43, 44, 45]",51,0.9973009446693657,,,1,0.010853370168215953,2,sgd,mse,120,recon+kl,0.8428916909402926,0.00979413934909828,0.5663491161295421,0.02682683046220119,0.8439230130908228,0.8437435576103463,0.9231073035844557,0.9740267253607303,True,0.011217354980526924,0.00046775979691543104,0.36559592071197305,True,0.5592195370699664,0.5658834600171985,0.5592195370699664,1e-06,COMPLETE
3,0.6466843288460055,leakyrelu,512,0.7328565928887313,14,3.0,0.08181714381857108,896,1.0,59,0.9917608046017778,0.5396828951890078,,5,0.0009993966620314018,3,huber,recon,0.9409871659610208,0.9732157799377344,0.013124747754078651,0.0024872007887857053,0.2911462656630794,False,0.0,0.45982002705850694,0.4647154505391944,0.5199716619530672,0.5236208017446904,0.8365284010830929,0.8285844230591919,leakyrelu,fedadam,512,0.7328565928887313,14,3.0,3.0,-3.0,0.08181714381857108,2,896,1.0,"[896, 888, 479]","[42, 43, 44, 45]",59,0.9910714285714286,0.5394144144144144,,5,0.0009993966620314018,3,sgd,huber,120,recon,0.6466843288460055,0.0011179134680332668,0.5236860429944246,0.0014139224847425614,0.6481742140707999,0.45982002705850694,0.9409871659610208,0.9732157799377344,True,0.013124747754078651,0.0024872007887857053,0.2911462656630794,False,0.5199716619530672,0.5236208017446904,0.5199716619530672,0.0,COMPLETE
4,0.7721904116002528,gelu,512,0.4123575980714199,1,4.0,0.16972274443239677,197,1.0,56,,,,7,0.00033931085505415384,1,mse,recon,0.8681628842673824,0.9780329724876607,0.0034313411986645376,0.0006565218934825244,0.6041053413837884,True,1e-05,0.7098090004346673,0.7194529237488263,0.5949680773594812,0.6018771662799822,0.8290350575134398,0.8239057669383808,gelu,fedadam,512,0.4123575980714199,1,4.0,4.0,-4.0,0.16972274443239677,2,197,1.0,[197],"[42, 43, 44, 45]",56,,,,7,0.00033931085505415384,1,sgd,mse,120,recon,0.7721904116002528,0.019779314473860717,0.6005414994326745,0.04176067395610939,0.7694220289740535,0.7098090004346673,0.8681628842673824,0.9780329724876607,True,0.0034313411986645376,0.0006565218934825244,0.6041053413837884,True,0.5949680773594812,0.6018771662799822,0.5949680773594812,1e-05,COMPLETE
5,0.6674659381285974,elu,128,0.3077000913594334,1,4.0,0.36735898712225323,243,2.0,118,0.7086455304516721,0.9945172536976497,0.6182999058527596,7,0.004163440610914538,4,huber,recon,0.8567448635130052,0.9948258315273698,0.002224602756710979,0.000712859168184597,0.0052681379865593125,True,0.0001,,,,,,,elu,fedadam,128,0.3077000913594334,1,4.0,4.0,-4.0,0.36735898712225323,2,243,2.0,"[243, 172, 171, 105]","[42, 43, 44, 45]",118,0.7078189300411523,0.9941860465116279,0.6140350877192983,7,0.004163440610914538,4,sgd,huber,120,recon,,,,,,,0.8567448635130052,0.9948258315273698,True,0.002224602756710979,0.000712859168184597,0.0052681379865593125,True,,,,0.0001,PRUNED
6,0.7384090275896101,elu,256,0.8414544804704812,15,4.0,0.042178346442180326,423,5.0,33,,,,7,0.00032101118562083083,1,huber,recon+kl,0.8584822277445233,0.9756374602612505,0.008675259861152694,0.0001030732107016105,0.1206101294841633,False,0.0001,0.6508353984732078,0.6525416714884625,0.5923574300816083,0.6026931376201685,0.8274984240959956,0.8246621126569083,elu,fedadam,256,0.8414544804704812,15,4.0,4.0,-4.0,0.042178346442180326,2,423,5.0,[423],"[42, 43, 44, 45]",33,,,,7,0.00032101118562083083,1,sgd,huber,120,recon+kl,0.7384090275896101,0.010173887230413455,0.6036538363383706,0.008283461495815162,0.7391669112846018,0.6508353984732078,0.8584822277445233,0.9756374602612505,True,0.008675259861152694,0.0001030732107016105,0.1206101294841633,False,0.5923574300816083,0.6026931376201685,0.5923574300816083,0.0001,COMPLETE
7,0.6465373963784316,gelu,128,0.7689094984332621,14,3.0,0.2643807180118413,413,,77,0.7699799676062793,0.7840516069094892,0.61273168015298,4,0.0014333044550799052,4,mse,recon+kl,0.9382276101196616,0.9905575953680932,0.002738973408839841,0.00035952815491782604,0.8142954049776814,True,1e-10,0.45975246546653337,0.46462224875385977,0.5212041411934721,0.5254385305706559,0.8363642342235544,0.8286405352381543,gelu,fedadam,128,0.7689094984332621,14,3.0,3.0,-3.0,0.2643807180118413,2,413,,"[413, 318, 249, 152]","[42, 43, 44, 45]",77,0.7699757869249395,0.7830188679245284,0.6104417670682731,4,0.0014333044550799052,4,sgd,mse,120,recon+kl,0.6465373963784316,0.0010478534969413738,0.5254225510216561,0.0002540805857127891,0.6480583498450438,0.45975246546653337,0.9382276101196616,0.9905575953680932,True,0.002738973408839841,0.00035952815491782604,0.8142954049776814,True,0.5212041411934721,0.5254385305706559,0.5212041411934721,1e-10,COMPLETE
8,0.7481206683220716,elu,64,1.0277815600859523,3,5.0,0.12042134328047993,985,5.0,22,0.711271676554029,0.6225165192778381,,3,0.01382824304142762,3,mse,recon,0.944436553961859,0.9822797620243646,0.0012993318822468673,0.0003883236376614348,0.5516775527247312,True,0.0001,0.7354887372257692,0.7345356040228361,0.5697446471009953,0.5744935409104679,0.7691992243729784,0.7638296748839476,elu,fedadam,64,1.0277815600859523,3,5.0,5.0,-5.0,0.12042134328047993,3,985,5.0,"[985, 700, 435]","[42, 43, 44, 45]",22,0.7106598984771574,0.6214285714285714,,3,0.01382824304142762,3,sgd,mse,120,recon,0.7481206683220716,0.03840393336923206,0.5746211273923163,0.036461601792806206,0.7523439807993738,0.7354887372257692,0.944436553961859,0.9822797620243646,True,0.0012993318822468673,0.0003883236376614348,0.5516775527247312,True,0.5697446471009953,0.5744935409104679,0.5697446471009953,0.0001,COMPLETE
9,0.6460963490655596,gelu,512,0.16396697835375967,5,3.0,0.08721417581978984,410,5.0,58,0.6053263137770316,,,7,0.004014918056963141,2,huber,recon,0.8684886031025308,0.9938454600828619,0.0022552953923792828,0.0004756372275034051,0.3504310995968805,False,1e-10,0.4591938898203187,0.4638512759412616,0.5210386007101446,0.5251144412079609,0.8366901593968098,0.8284392105614734,gelu,fedadam,512,0.16396697835375967,5,3.0,3.0,-3.0,0.08721417581978984,2,410,5.0,"[410, 248]","[42, 43, 44, 45]",58,0.6048780487804878,,,7,0.004014918056963141,2,sgd,huber,120,recon,0.6460963490655596,0.0014266680077840868,0.5250869069896753,0.00046790804575819504,0.6479420246085643,0.4591938898203187,0.8684886031025308,0.9938454600828619,True,0.0022552953923792828,0.0004756372275034051,0.3504310995968805,False,0.5210386007101446,0.5251144412079609,0.5210386007101446,1e-10,COMPLETE
