number,values_0,params_activation,params_batch_size,params_beta,params_beta_warmup_rounds,params_clip_abs,params_dropout,params_first_layer,params_grad_clip,params_latent_dim,params_layer_1_dropoff,params_layer_2_dropoff,params_layer_3_dropoff,params_local_epochs,params_lr,params_n_layers,params_recon_type,params_score_type,params_server_beta1,params_server_beta2,params_server_lr,params_server_tau,params_sgd_momentum,params_sgd_nesterov,params_weight_decay,user_attrs_NF-BoT-IoT-v3__test_auroc,user_attrs_NF-BoT-IoT-v3__val_auroc,user_attrs_NF-CICIDS2018-v3__test_auroc,user_attrs_NF-CICIDS2018-v3__val_auroc,user_attrs_NF-ToN-IoT-v3__test_auroc,user_attrs_NF-ToN-IoT-v3__val_auroc,user_attrs_activation,user_attrs_aggregation_method,user_attrs_batch_size,user_attrs_beta,user_attrs_beta_warmup_rounds,user_attrs_clip_abs,user_attrs_clip_max,user_attrs_clip_min,user_attrs_dropout,user_attrs_early_stop_patience,user_attrs_first_layer,user_attrs_grad_clip,user_attrs_hidden_dims,user_attrs_hpo_seeds,user_attrs_latent_dim,user_attrs_layer_1_dropoff,user_attrs_layer_2_dropoff,user_attrs_layer_3_dropoff,user_attrs_local_epochs,user_attrs_lr,user_attrs_n_layers,user_attrs_optimizer,user_attrs_recon_type,user_attrs_rounds,user_attrs_score_type,user_attrs_seed_seen_obj_mean,user_attrs_seed_seen_obj_std,user_attrs_seed_unseen_val_obj_mean,user_attrs_seed_unseen_val_obj_std,user_attrs_seen_test_mean,user_attrs_seen_test_min,user_attrs_server_beta1,user_attrs_server_beta2,user_attrs_server_bias_correction,user_attrs_server_lr,user_attrs_server_tau,user_attrs_sgd_momentum,user_attrs_sgd_nesterov,user_attrs_unseen__test_auroc,user_attrs_unseen__val_auroc,user_attrs_unseen_test_auroc,user_attrs_weight_decay,state
0,0.816578577748988,relu,512,0.870804191700653,5,6.0,0.1692425840497844,338,5.0,95,0.6134257267821015,0.7756573845414456,,1,0.004307355413840528,3,mse,recon,0.8817285481820321,0.9803706552988408,0.006483081872184876,0.00015719263179900134,0.8069602043739,False,0.0001,0.8297452586458328,0.8376066498915213,0.7866594786627302,0.7966152551506187,0.8229823818636499,0.8142926496073882,relu,fedadam,512,0.870804191700653,5,6.0,6.0,-6.0,0.1692425840497844,10,338,5.0,"[338, 207, 160]","[42, 43, 44, 45]",95,0.6124260355029586,0.7729468599033816,,1,0.004307355413840528,3,sgd,mse,120,recon,0.816578577748988,0.005853012419205556,0.8142561921266895,0.0024264471600688744,0.8082023686542815,0.7866594786627302,0.8817285481820321,0.9803706552988408,True,0.006483081872184876,0.00015719263179900134,0.8069602043739,False,0.8229823818636499,0.8142926496073882,0.8229823818636499,0.0001,COMPLETE
1,0.6382577849069793,relu,64,0.5556274239180459,1,8.0,0.0482514663961295,304,5.0,82,0.7415171321313522,0.9927798928053525,0.7597425596299047,5,0.00042546253279906115,4,mse,recon+kl,0.8543591463799041,0.9776192018352774,0.012446232584140782,0.000404769467477543,0.7254986993711713,False,1e-06,0.6475465761956642,0.6492130446982827,0.6210108647996673,0.6270118355094921,0.7434116581144473,0.7385126006461677,relu,fedadam,64,0.5556274239180459,1,8.0,8.0,-8.0,0.0482514663961295,2,304,5.0,"[304, 225, 223, 169]","[42, 43, 44, 45]",82,0.7401315789473685,0.9911111111111112,0.757847533632287,5,0.00042546253279906115,4,sgd,mse,120,recon+kl,0.6382577849069793,0.008020047210782111,0.7387406069065051,0.0493701111325442,0.6342787204976658,0.6210108647996673,0.8543591463799041,0.9776192018352774,True,0.012446232584140782,0.000404769467477543,0.7254986993711713,False,0.7434116581144473,0.7385126006461677,0.7434116581144473,1e-06,COMPLETE
2,0.8000338863462736,leakyrelu,256,0.1669485269677149,13,5.0,0.30501912551417354,741,2.0,51,0.9976792410170088,,,1,0.010853370168215953,2,mse,recon+kl,0.9231073035844557,0.9740267253607303,0.011217354980526924,0.00046775979691543104,0.36559592071197305,True,1e-06,0.8229449553195934,0.8246941599584903,0.7681883219397827,0.7744409186532466,0.8027399748984365,0.7962054466064906,leakyrelu,fedadam,256,0.1669485269677149,13,5.0,5.0,-5.0,0.30501912551417354,10,741,2.0,"[741, 739]","[42, 43, 44, 45]",51,0.9973009446693657,,,1,0.010853370168215953,2,sgd,mse,120,recon+kl,0.8000338863462736,0.023902980217334075,0.7950300456682868,0.008794480050699681,0.795566638629688,0.7681883219397827,0.9231073035844557,0.9740267253607303,True,0.011217354980526924,0.00046775979691543104,0.36559592071197305,True,0.8027399748984365,0.7962054466064906,0.8027399748984365,1e-06,COMPLETE
3,0.573162379796158,leakyrelu,512,0.7328565928887313,14,3.0,0.08181714381857108,896,1.0,59,0.9917608046017778,0.5396828951890078,,5,0.0009993966620314018,3,huber,recon,0.9409871659610208,0.9732157799377344,0.013124747754078651,0.0024872007887857053,0.2911462656630794,False,0.0,0.5525089144420547,0.5531268258141544,0.5894446043869404,0.5931989040175674,0.8290150835182081,0.8217149957615238,leakyrelu,fedadam,512,0.7328565928887313,14,3.0,3.0,-3.0,0.08181714381857108,2,896,1.0,"[896, 888, 479]","[42, 43, 44, 45]",59,0.9910714285714286,0.5394144144144144,,5,0.0009993966620314018,3,sgd,huber,120,recon,0.573162379796158,0.003630233291951669,0.8217013830086501,0.0055484018706843784,0.5709767594144975,0.5525089144420547,0.9409871659610208,0.9732157799377344,True,0.013124747754078651,0.0024872007887857053,0.2911462656630794,False,0.8290150835182081,0.8217149957615238,0.8290150835182081,0.0,COMPLETE
4,0.7953980457143879,gelu,512,0.4123575980714199,1,4.0,0.16972274443239677,197,1.0,56,,,,7,0.00033931085505415384,1,mse,recon,0.8681628842673824,0.9780329724876607,0.0034313411986645376,0.0006565218934825244,0.6041053413837884,True,1e-05,0.7872968589175467,0.7923791899053705,0.7923950071597787,0.7976060459909944,0.8286996016491012,0.8194279209733536,gelu,fedadam,512,0.4123575980714199,1,4.0,4.0,-4.0,0.16972274443239677,2,197,1.0,[197],"[42, 43, 44, 45]",56,,,,7,0.00033931085505415384,1,sgd,mse,120,recon,0.7953980457143879,0.011562772061406846,0.8211681041498492,0.004434565366035848,0.7898459330386627,0.7872968589175467,0.8681628842673824,0.9780329724876607,True,0.0034313411986645376,0.0006565218934825244,0.6041053413837884,True,0.8286996016491012,0.8194279209733536,0.8286996016491012,1e-05,COMPLETE
5,0.5830609018686929,elu,128,0.3077000913594334,1,4.0,0.36735898712225323,243,2.0,118,0.7086455304516721,0.9945172536976497,0.6182999058527596,7,0.004163440610914538,4,huber,recon,0.8567448635130052,0.9948258315273698,0.002224602756710979,0.000712859168184597,0.0052681379865593125,True,0.0001,,,,,,,elu,fedadam,128,0.3077000913594334,1,4.0,4.0,-4.0,0.36735898712225323,2,243,2.0,"[243, 172, 171, 105]","[42, 43, 44, 45]",118,0.7078189300411523,0.9941860465116279,0.6140350877192983,7,0.004163440610914538,4,sgd,huber,120,recon,,,,,,,0.8567448635130052,0.9948258315273698,True,0.002224602756710979,0.000712859168184597,0.0052681379865593125,True,,,,0.0001,PRUNED
6,0.7012323569314374,elu,256,0.8414544804704812,15,4.0,0.042178346442180326,423,5.0,33,,,,7,0.00032101118562083083,1,huber,recon+kl,0.8584822277445233,0.9756374602612505,0.008675259861152694,0.0001030732107016105,0.1206101294841633,False,0.0001,0.6819784322248377,0.6825627603769752,0.7136516941673676,0.7221257863055354,0.80127190036147,0.7922482810885875,elu,fedadam,256,0.8414544804704812,15,4.0,4.0,-4.0,0.042178346442180326,2,423,5.0,[423],"[42, 43, 44, 45]",33,,,,7,0.00032101118562083083,1,sgd,huber,120,recon+kl,0.7012323569314374,0.009661261696586081,0.793551092101475,0.010130976381831969,0.6978150631961026,0.6819784322248377,0.8584822277445233,0.9756374602612505,True,0.008675259861152694,0.0001030732107016105,0.1206101294841633,False,0.80127190036147,0.7922482810885875,0.80127190036147,0.0001,COMPLETE
7,0.5708141872757277,gelu,128,0.7689094984332621,14,3.0,0.2643807180118413,413,,77,0.7699799676062793,0.7840516069094892,0.61273168015298,4,0.0014333044550799052,4,mse,recon+kl,0.9382276101196616,0.9905575953680932,0.002738973408839841,0.00035952815491782604,0.8142954049776814,True,1e-10,,,,,,,gelu,fedadam,128,0.7689094984332621,14,3.0,3.0,-3.0,0.2643807180118413,2,413,,"[413, 318, 249, 152]","[42, 43, 44, 45]",77,0.7699757869249395,0.7830188679245284,0.6104417670682731,4,0.0014333044550799052,4,sgd,mse,120,recon+kl,,,,,,,0.9382276101196616,0.9905575953680932,True,0.002738973408839841,0.00035952815491782604,0.8142954049776814,True,,,,1e-10,PRUNED
8,0.7309380224592193,elu,64,1.0277815600859523,3,5.0,0.12042134328047993,985,5.0,22,0.711271676554029,0.6225165192778381,,3,0.01382824304142762,3,mse,recon,0.944436553961859,0.9822797620243646,0.0012993318822468673,0.0003883236376614348,0.5516775527247312,True,0.0001,0.7182722447082555,0.7166362305505221,0.7419272224009814,0.7472859757715344,0.7551916581520808,0.7481040198959057,elu,fedadam,64,1.0277815600859523,3,5.0,5.0,-5.0,0.12042134328047993,3,985,5.0,"[985, 700, 435]","[42, 43, 44, 45]",22,0.7106598984771574,0.6214285714285714,,3,0.01382824304142762,3,sgd,mse,120,recon,0.7309380224592193,0.016953167008824023,0.7465438896321512,0.014944024646441532,0.7300997335546184,0.7182722447082555,0.944436553961859,0.9822797620243646,True,0.0012993318822468673,0.0003883236376614348,0.5516775527247312,True,0.7551916581520808,0.7481040198959057,0.7551916581520808,0.0001,COMPLETE
9,0.5673298811627255,gelu,512,0.16396697835375967,5,3.0,0.08721417581978984,410,5.0,58,0.6053263137770316,,,7,0.004014918056963141,2,huber,recon,0.8684886031025308,0.9938454600828619,0.0022552953923792828,0.0004756372275034051,0.3504310995968805,False,1e-10,,,,,,,gelu,fedadam,512,0.16396697835375967,5,3.0,3.0,-3.0,0.08721417581978984,2,410,5.0,"[410, 248]","[42, 43, 44, 45]",58,0.6048780487804878,,,7,0.004014918056963141,2,sgd,huber,120,recon,,,,,,,0.8684886031025308,0.9938454600828619,True,0.0022552953923792828,0.0004756372275034051,0.3504310995968805,False,,,,1e-10,PRUNED
