number,values_0,params_activation,params_batch_size,params_beta,params_beta_warmup_rounds,params_clip_abs,params_dropout,params_first_layer,params_grad_clip,params_latent_dim,params_layer_1_dropoff,params_layer_2_dropoff,params_layer_3_dropoff,params_local_epochs,params_lr,params_n_layers,params_recon_type,params_score_type,params_sgd_momentum,params_sgd_nesterov,params_weight_decay,user_attrs_NF-BoT-IoT-v3__test_auroc,user_attrs_NF-BoT-IoT-v3__val_auroc,user_attrs_NF-CICIDS2018-v3__test_auroc,user_attrs_NF-CICIDS2018-v3__val_auroc,user_attrs_NF-ToN-IoT-v3__test_auroc,user_attrs_NF-ToN-IoT-v3__val_auroc,user_attrs_activation,user_attrs_aggregation_method,user_attrs_batch_size,user_attrs_beta,user_attrs_beta_warmup_rounds,user_attrs_clip_abs,user_attrs_clip_max,user_attrs_clip_min,user_attrs_dropout,user_attrs_early_stop_patience,user_attrs_first_layer,user_attrs_grad_clip,user_attrs_hidden_dims,user_attrs_hpo_seeds,user_attrs_latent_dim,user_attrs_layer_1_dropoff,user_attrs_layer_2_dropoff,user_attrs_layer_3_dropoff,user_attrs_local_epochs,user_attrs_lr,user_attrs_n_layers,user_attrs_optimizer,user_attrs_recon_type,user_attrs_rounds,user_attrs_score_type,user_attrs_seed_seen_obj_mean,user_attrs_seed_seen_obj_std,user_attrs_seed_unseen_val_obj_mean,user_attrs_seed_unseen_val_obj_std,user_attrs_seen_test_mean,user_attrs_seen_test_min,user_attrs_sgd_momentum,user_attrs_sgd_nesterov,user_attrs_unseen__test_auroc,user_attrs_unseen__val_auroc,user_attrs_unseen_test_auroc,user_attrs_weight_decay,state
0,0.7864140992367921,relu,512,0.870804191700653,5,6.0,0.1692425840497844,338,5.0,95,0.6134257267821015,0.7756573845414456,,1,0.004307355413840528,3,mse,recon,0.8069602043739,False,0.0001,0.537709303572739,0.5339747115625253,0.7693945047521737,0.7761572133595263,0.799162625766548,0.7962968990207756,relu,fedavg,512,0.870804191700653,5,6.0,6.0,-6.0,0.1692425840497844,10,338,5.0,"[338, 207, 160]","[42, 43, 44, 45]",95,0.6124260355029586,0.7729468599033816,,1,0.004307355413840528,3,sgd,mse,120,recon,0.7864140992367921,0.006832166760089934,0.5347299694368708,0.009625528028520068,0.7842785652593609,0.7693945047521737,0.8069602043739,False,0.537709303572739,0.5339747115625253,0.537709303572739,0.0001,COMPLETE
1,0.7715141032823963,leakyrelu,64,1.2471330196850028,1,8.0,0.10018214615860269,175,2.0,112,0.6586427409101605,0.7074131059768158,,1,0.004987564371383458,3,mse,recon,0.5566397249341022,True,1e-10,0.5212797939940652,0.5197643059154262,0.7577645307757588,0.7641065165277049,0.7800354790089586,0.7780753913651751,leakyrelu,fedavg,64,1.2471330196850028,1,8.0,8.0,-8.0,0.10018214615860269,10,175,2.0,"[175, 115, 81]","[42, 43, 44, 45]",112,0.6571428571428571,0.7043478260869566,,1,0.004987564371383458,3,sgd,mse,120,recon,0.7715141032823963,0.002020432628484476,0.51981896273528,0.007573552259264544,0.7689000048923587,0.7577645307757588,0.5566397249341022,True,0.5212797939940652,0.5197643059154262,0.5212797939940652,1e-10,COMPLETE
2,0.6967299683196253,relu,512,0.14801245329920112,5,5.0,0.3700529958455945,728,,55,0.777191624858886,,,4,0.0012692690224631797,2,huber,recon+kl,0.487471746489052,False,1e-08,0.5493377533912513,0.548141088921442,0.601691476570306,0.6050499667413691,0.7890399028302295,0.7884416349839398,relu,fedavg,512,0.14801245329920112,5,5.0,5.0,-5.0,0.3700529958455945,2,728,,"[728, 565]","[42, 43, 44, 45]",55,0.7760989010989011,,,4,0.0012692690224631797,2,sgd,huber,120,recon+kl,0.6967299683196253,0.0007316460696493707,0.5485018268725974,0.002121195328683666,0.6953656897002678,0.601691476570306,0.487471746489052,False,0.5493377533912513,0.548141088921442,0.5493377533912513,1e-08,COMPLETE
3,0.6970728376950593,elu,512,0.39364680343716085,12,5.0,0.3934523539646893,934,5.0,117,0.6038179305981622,0.6462447063962125,0.7600050765362417,2,0.0004439567439268961,4,mse,recon+kl,0.2820177367066455,False,1e-05,0.5497072958239955,0.5482166352897123,0.602524212471375,0.6060701734764538,0.7893388071300482,0.7882488660547454,elu,fedavg,512,0.39364680343716085,12,5.0,5.0,-5.0,0.3934523539646893,5,934,5.0,"[934, 563, 363, 275]","[42, 43, 44, 45]",117,0.6027837259100642,0.6447602131438721,0.7575757575757576,2,0.0004439567439268961,4,sgd,mse,120,recon+kl,0.6970728376950593,0.00034277819192186796,0.5484030094591874,0.001088484060327863,0.6959315098007116,0.602524212471375,0.2820177367066455,False,0.5497072958239955,0.5482166352897123,0.5497072958239955,1e-05,COMPLETE
4,0.7080137570539344,elu,512,1.1375582460015305,7,6.0,0.23306843514456188,799,5.0,18,0.7828210006129415,,,5,0.0017824536581493996,2,huber,recon+kl,0.5341074597943604,True,0.0001,0.5540264958857145,0.5532067529603474,0.622678340587196,0.6272264201247175,0.7889448875792422,0.7879103113045475,elu,fedavg,512,1.1375582460015305,7,6.0,6.0,-6.0,0.23306843514456188,2,799,5.0,"[799, 625]","[42, 43, 44, 45]",18,0.7822277847309136,,,5,0.0017824536581493996,2,sgd,huber,120,recon+kl,0.7080137570539344,0.0004472883605433765,0.5531161678812888,0.0012179288040361966,0.7058116140832191,0.622678340587196,0.5341074597943604,True,0.5540264958857145,0.5532067529603474,0.5540264958857145,0.0001,COMPLETE
5,0.7606883484008573,relu,128,1.9353680216575784,3,5.0,0.2613459485412163,585,,16,,,,5,0.0011565851294673551,1,mse,recon,0.8032563467344402,True,1e-06,0.5233623864173069,0.5228382742628062,0.7321384405794811,0.7387231278966057,0.7907214629657855,0.7846549081883032,relu,fedavg,128,1.9353680216575784,3,5.0,5.0,-5.0,0.2613459485412163,2,585,,[585],"[42, 43, 44, 45]",16,,,,5,0.0011565851294673551,1,sgd,mse,120,recon,0.7606883484008573,0.0038109635300876475,0.5213566745885244,0.006391995184575116,0.7614299517726333,0.7321384405794811,0.8032563467344402,True,0.5233623864173069,0.5228382742628062,0.5233623864173069,1e-06,COMPLETE
6,0.7063996535480891,elu,64,1.9586915934766993,3,6.0,0.15007421099311924,582,1.0,127,0.8131546808549281,0.5027727042034522,0.7424547217212796,3,0.0003335500512764793,4,mse,recon,0.253560524051578,False,0.0,0.5538948726199144,0.5533686359351273,0.6212907359424659,0.6259865129666322,0.7869271941758352,0.7869118908542998,elu,fedavg,64,1.9586915934766993,3,6.0,6.0,-6.0,0.15007421099311924,3,582,1.0,"[582, 473, 237, 175]","[42, 43, 44, 45]",127,0.8127147766323024,0.5010570824524313,0.7383966244725738,3,0.0003335500512764793,4,sgd,mse,120,recon,0.7063996535480891,0.0002958580685438692,0.5534922091539795,0.0003853242240642917,0.7041089650591505,0.6212907359424659,0.253560524051578,False,0.5538948726199144,0.5533686359351273,0.5538948726199144,0.0,COMPLETE
7,0.7090298182206491,elu,128,0.1023450253648446,1,8.0,0.3108649846282409,89,1.0,23,0.9437967302338874,0.508059315211687,,5,0.0005048304188888196,3,huber,recon,0.5666625534246501,True,1e-10,0.5493647648563058,0.5485782405760941,0.6395380954800252,0.6430056734896253,0.776264665315623,0.7755396412772068,elu,fedavg,128,0.1023450253648446,1,8.0,8.0,-8.0,0.3108649846282409,2,89,1.0,"[89, 83, 42]","[42, 43, 44, 45]",23,0.9325842696629213,0.5060240963855421,,5,0.0005048304188888196,3,sgd,huber,120,recon,0.7090298182206491,0.0006210368020853468,0.5486875983175931,0.002005925434820485,0.707901380397824,0.6395380954800252,0.5666625534246501,True,0.5493647648563058,0.5485782405760941,0.5493647648563058,1e-10,COMPLETE
8,0.6966224628533553,gelu,256,0.2843123798463446,10,5.0,0.07934627561068766,545,5.0,120,0.5017661054831242,0.7404445219374811,,8,0.0014147335594241423,3,mse,recon,0.23010881616765388,False,1e-10,0.5500917317256291,0.5486777930193568,0.6025196776311952,0.6059955679463948,0.7881527018050922,0.7873722841528975,gelu,fedavg,256,0.2843123798463446,10,5.0,5.0,-5.0,0.07934627561068766,2,545,5.0,"[545, 273, 202]","[42, 43, 44, 45]",120,0.5009174311926605,0.73992673992674,,8,0.0014147335594241423,3,sgd,mse,120,recon,0.6966224628533553,0.00041774164309133605,0.5487105018478062,0.00021763158452609523,0.6953361897181437,0.6025196776311952,0.23010881616765388,False,0.5500917317256291,0.5486777930193568,0.5500917317256291,1e-10,COMPLETE
9,0.6715824948700796,leakyrelu,512,0.7175251725080278,12,3.0,0.08620217891026392,413,2.0,89,0.7822851712980718,0.5956678603602783,,6,0.007931301977854554,3,huber,recon+kl,0.2256043089888526,True,1e-08,0.5349958979453975,0.533236050662256,0.5414102129869544,0.5447429724089786,0.8008119433765931,0.7984200180499811,leakyrelu,fedavg,512,0.7175251725080278,12,3.0,3.0,-3.0,0.08620217891026392,2,413,2.0,"[413, 323, 192]","[42, 43, 44, 45]",89,0.7820823244552058,0.5944272445820433,,6,0.007931301977854554,3,sgd,huber,120,recon+kl,0.6715824948700796,0.0004980238951664683,0.5332260542562579,0.002775402326093934,0.6711110781817737,0.5414102129869544,0.2256043089888526,True,0.5349958979453975,0.533236050662256,0.5349958979453975,1e-08,COMPLETE
