number,values_0,params_activation,params_batch_size,params_beta,params_beta_warmup_rounds,params_clip_abs,params_dropout,params_first_layer,params_grad_clip,params_latent_dim,params_layer_1_dropoff,params_layer_2_dropoff,params_layer_3_dropoff,params_local_epochs,params_lr,params_n_layers,params_recon_type,params_score_type,params_sgd_momentum,params_sgd_nesterov,params_weight_decay,user_attrs_NF-BoT-IoT-v3__test_auroc,user_attrs_NF-BoT-IoT-v3__val_auroc,user_attrs_NF-CICIDS2018-v3__test_auroc,user_attrs_NF-CICIDS2018-v3__val_auroc,user_attrs_NF-ToN-IoT-v3__test_auroc,user_attrs_NF-ToN-IoT-v3__val_auroc,user_attrs_activation,user_attrs_aggregation_method,user_attrs_batch_size,user_attrs_beta,user_attrs_beta_warmup_rounds,user_attrs_clip_abs,user_attrs_clip_max,user_attrs_clip_min,user_attrs_dropout,user_attrs_early_stop_patience,user_attrs_first_layer,user_attrs_grad_clip,user_attrs_hidden_dims,user_attrs_hpo_seeds,user_attrs_latent_dim,user_attrs_layer_1_dropoff,user_attrs_layer_2_dropoff,user_attrs_layer_3_dropoff,user_attrs_local_epochs,user_attrs_lr,user_attrs_n_layers,user_attrs_optimizer,user_attrs_recon_type,user_attrs_rounds,user_attrs_score_type,user_attrs_seed_seen_obj_mean,user_attrs_seed_seen_obj_std,user_attrs_seed_unseen_val_obj_mean,user_attrs_seed_unseen_val_obj_std,user_attrs_seen_test_mean,user_attrs_seen_test_min,user_attrs_sgd_momentum,user_attrs_sgd_nesterov,user_attrs_unseen__test_auroc,user_attrs_unseen__val_auroc,user_attrs_unseen_test_auroc,user_attrs_weight_decay,state
0,0.8112663038441708,relu,512,0.870804191700653,5,6.0,0.1692425840497844,338,5.0,95,0.6134257267821015,0.7756573845414456,,1,0.004307355413840528,3,mse,recon,0.8069602043739,False,0.0001,0.8164516945437029,0.824873595446155,0.7883664884719094,0.7986824825098175,0.8284071703161782,0.8186163304110899,relu,fedavg,512,0.870804191700653,5,6.0,6.0,-6.0,0.1692425840497844,10,338,5.0,"[338, 207, 160]","[42, 43, 44, 45]",95,0.6124260355029586,0.7729468599033816,,1,0.004307355413840528,3,sgd,mse,120,recon,0.8112663038441708,0.003544158278440991,0.8186215344224477,0.00471481785447692,0.8024090915078061,0.7883664884719094,0.8069602043739,False,0.8284071703161782,0.8186163304110899,0.8284071703161782,0.0001,COMPLETE
1,0.7504756598686402,leakyrelu,64,1.2471330196850028,1,8.0,0.10018214615860269,175,2.0,112,0.6586427409101605,0.7074131059768158,,1,0.004987564371383458,3,mse,recon,0.5566397249341022,True,1e-10,0.741125317768106,0.7493194799610869,0.7421934890232407,0.7512652509874096,0.7809634089202753,0.7804584316509263,leakyrelu,fedavg,64,1.2471330196850028,1,8.0,8.0,-8.0,0.10018214615860269,10,175,2.0,"[175, 115, 81]","[42, 43, 44, 45]",112,0.6571428571428571,0.7043478260869566,,1,0.004987564371383458,3,sgd,mse,120,recon,0.7504756598686402,0.01595843057867834,0.7779342509328412,0.0023138848979816114,0.7416594033956734,0.741125317768106,0.5566397249341022,True,0.7809634089202753,0.7804584316509263,0.7809634089202753,1e-10,COMPLETE
2,0.6005436457198448,relu,512,0.14801245329920112,5,5.0,0.3700529958455945,728,,55,0.777191624858886,,,4,0.0012692690224631797,2,huber,recon+kl,0.487471746489052,False,1e-08,0.5628713441379194,0.5670762664623166,0.6288477554422787,0.634211100103304,0.8316400785788074,0.8250120750704217,relu,fedavg,512,0.14801245329920112,5,5.0,5.0,-5.0,0.3700529958455945,2,728,,"[728, 565]","[42, 43, 44, 45]",55,0.7760989010989011,,,4,0.0012692690224631797,2,sgd,huber,120,recon+kl,0.6005436457198448,0.00034769977147585486,0.8251545679576848,0.0008559061945373648,0.595859549790099,0.5628713441379194,0.487471746489052,False,0.8316400785788074,0.8250120750704217,0.8316400785788074,1e-08,COMPLETE
3,0.6008399362535071,elu,512,0.39364680343716085,12,5.0,0.3934523539646893,934,5.0,117,0.6038179305981622,0.6462447063962125,0.7600050765362417,2,0.0004439567439268961,4,mse,recon+kl,0.2820177367066455,False,1e-05,0.562052146898715,0.566233936951609,0.6302714788659511,0.6355463994356852,0.8325184169079916,0.8259048423296282,elu,fedavg,512,0.39364680343716085,12,5.0,5.0,-5.0,0.3934523539646893,5,934,5.0,"[934, 563, 363, 275]","[42, 43, 44, 45]",117,0.6027837259100642,0.6447602131438721,0.7575757575757576,2,0.0004439567439268961,4,sgd,mse,120,recon+kl,0.6008399362535071,0.0005812397836360491,0.8258838939788236,0.000406767899615267,0.596161812882333,0.562052146898715,0.2820177367066455,False,0.8325184169079916,0.8259048423296282,0.8325184169079916,1e-05,COMPLETE
4,0.614441450520848,elu,512,1.1375582460015305,7,6.0,0.23306843514456188,799,5.0,18,0.7828210006129415,,,5,0.0017824536581493996,2,huber,recon+kl,0.5341074597943604,True,0.0001,0.5781783114212113,0.5833057697138534,0.6385789955987589,0.6454450611638921,0.8313452198832983,0.8252234255542948,elu,fedavg,512,1.1375582460015305,7,6.0,6.0,-6.0,0.23306843514456188,2,799,5.0,"[799, 625]","[42, 43, 44, 45]",18,0.7822277847309136,,,5,0.0017824536581493996,2,sgd,huber,120,recon+kl,0.614441450520848,0.000973414996266135,0.8253039554249672,0.0007717977108074199,0.6083786535099851,0.5781783114212113,0.5341074597943604,True,0.8313452198832983,0.8252234255542948,0.8313452198832983,0.0001,COMPLETE
5,0.7717836166785212,relu,128,1.9353680216575784,3,5.0,0.2613459485412163,585,,16,,,,5,0.0011565851294673551,1,mse,recon,0.8032563467344402,True,1e-06,0.7606608729849598,0.7676431420656291,0.77570818773862,0.7824764414111821,0.7725593621869595,0.757575673381429,relu,fedavg,128,1.9353680216575784,3,5.0,5.0,-5.0,0.2613459485412163,2,585,,[585],"[42, 43, 44, 45]",16,,,,5,0.0011565851294673551,1,sgd,mse,120,recon,0.7717836166785212,0.007391683478079741,0.7608801323900489,0.003029384920152027,0.7681845303617899,0.7606608729849598,0.8032563467344402,True,0.7725593621869595,0.757575673381429,0.7725593621869595,1e-06,COMPLETE
6,0.6140401168709226,elu,64,1.9586915934766993,3,6.0,0.15007421099311924,582,1.0,127,0.8131546808549281,0.5027727042034522,0.7424547217212796,3,0.0003335500512764793,4,mse,recon,0.253560524051578,False,0.0,,,,,,,elu,fedavg,64,1.9586915934766993,3,6.0,6.0,-6.0,0.15007421099311924,3,582,1.0,"[582, 473, 237, 175]","[42, 43, 44, 45]",127,0.8127147766323024,0.5010570824524313,0.7383966244725738,3,0.0003335500512764793,4,sgd,mse,120,recon,,,,,,,0.253560524051578,False,,,,0.0,PRUNED
7,0.6271379445813363,elu,128,0.1023450253648446,1,8.0,0.3108649846282409,89,1.0,23,0.9437967302338874,0.508059315211687,,5,0.0005048304188888196,3,huber,recon,0.5666625534246501,True,1e-10,0.6032933571177234,0.6063907640970494,0.6423390555113362,0.6480256627734782,0.7848199329746858,0.7848986881892815,elu,fedavg,128,0.1023450253648446,1,8.0,8.0,-8.0,0.3108649846282409,2,89,1.0,"[89, 83, 42]","[42, 43, 44, 45]",23,0.9325842696629213,0.5060240963855421,,5,0.0005048304188888196,3,sgd,huber,120,recon,0.6271379445813363,0.0011656110399737103,0.7847205463541579,0.000209178078296208,0.6228162063145297,0.6032933571177234,0.5666625534246501,True,0.7848199329746858,0.7848986881892815,0.7848199329746858,1e-10,COMPLETE
8,0.6011825851199851,gelu,256,0.2843123798463446,10,5.0,0.07934627561068766,545,5.0,120,0.5017661054831242,0.7404445219374811,,8,0.0014147335594241423,3,mse,recon,0.23010881616765388,False,1e-10,0.5625324071721978,0.5665426641903805,0.6308910490534226,0.6360096593507087,0.8312409656010733,0.8244334742708974,gelu,fedavg,256,0.2843123798463446,10,5.0,5.0,-5.0,0.07934627561068766,2,545,5.0,"[545, 273, 202]","[42, 43, 44, 45]",120,0.5009174311926605,0.73992673992674,,8,0.0014147335594241423,3,sgd,mse,120,recon,0.6011825851199851,0.0006163784676960821,0.8244818833370026,0.0002985011406900439,0.5967117281128103,0.5625324071721978,0.23010881616765388,False,0.8312409656010733,0.8244334742708974,0.8312409656010733,1e-10,COMPLETE
9,0.5719515430687508,leakyrelu,512,0.7175251725080278,12,3.0,0.08620217891026392,413,2.0,89,0.7822851712980718,0.5956678603602783,,6,0.007931301977854554,3,huber,recon+kl,0.2256043089888526,True,1e-08,,,,,,,leakyrelu,fedavg,512,0.7175251725080278,12,3.0,3.0,-3.0,0.08620217891026392,2,413,2.0,"[413, 323, 192]","[42, 43, 44, 45]",89,0.7820823244552058,0.5944272445820433,,6,0.007931301977854554,3,sgd,huber,120,recon+kl,,,,,,,0.2256043089888526,True,,,,1e-08,PRUNED
10,0.8487651821886155,relu,256,0.6268538043409331,15,4.0,0.003224457361608174,319,5.0,74,,,,1,0.015934288792024562,1,mse,recon,0.9369746035816005,False,0.0001,0.8999903469999492,0.8991061566570889,0.7984496585698131,0.7983124243801287,0.7271810699588477,0.714430935183774,relu,fedavg,256,0.6268538043409331,15,4.0,4.0,-4.0,0.003224457361608174,10,319,5.0,[319],"[42, 43, 44, 45]",74,,,,1,0.015934288792024562,1,sgd,mse,120,recon,0.8487651821886155,0.006795679048756054,0.7173316275936559,0.0082823677748975,0.8492200027848811,0.7984496585698131,0.9369746035816005,False,0.7271810699588477,0.714430935183774,0.7271810699588477,0.0001,COMPLETE
11,0.837451654146462,relu,256,0.6356616837545555,15,4.0,0.0008662977657382942,314,5.0,70,,,,1,0.01944950736616424,1,mse,recon,0.9219181141926562,False,0.0001,0.8829351988273393,0.8804143769016692,0.7942596826364545,0.7966841568490199,0.7217239354886055,0.7101415949747949,relu,fedavg,256,0.6356616837545555,15,4.0,4.0,-4.0,0.0008662977657382942,10,314,5.0,[314],"[42, 43, 44, 45]",70,,,,1,0.01944950736616424,1,sgd,mse,120,recon,0.837451654146462,0.003946810064840566,0.7076119897363959,0.02298721250136116,0.8385974407318969,0.7942596826364545,0.9219181141926562,False,0.7217239354886055,0.7101415949747949,0.7217239354886055,0.0001,COMPLETE
12,0.8490413255540126,relu,256,0.5392409517015277,15,4.0,0.011383160912920668,301,5.0,60,,,,2,0.014967725476530766,1,mse,recon,0.9289179321517094,False,0.0001,0.9127206594899528,0.9127068844424875,0.7862309738992663,0.783991220333019,0.6693966404549141,0.6599433339025405,relu,fedavg,256,0.5392409517015277,15,4.0,4.0,-4.0,0.011383160912920668,5,301,5.0,[301],"[42, 43, 44, 45]",60,,,,2,0.014967725476530766,1,sgd,mse,120,recon,0.8490413255540126,0.01617841541045072,0.659020856736684,0.025145676065693325,0.8494758166946096,0.7862309738992663,0.9289179321517094,False,0.6693966404549141,0.6599433339025405,0.6693966404549141,0.0001,COMPLETE
13,0.8464849137768821,relu,256,0.38700306651235605,15,4.0,0.012769677798853296,217,5.0,50,,,,3,0.015319991329529908,1,mse,recon,0.9464259264544416,False,0.0001,0.8923505619626637,0.8915217217198146,0.7992246270046911,0.8014417992778126,0.6388777117309353,0.626238245990618,relu,fedavg,256,0.38700306651235605,15,4.0,4.0,-4.0,0.012769677798853296,3,217,5.0,[217],"[42, 43, 44, 45]",50,,,,3,0.015319991329529908,1,sgd,mse,120,recon,0.8464849137768821,0.005957904451155654,0.6291038333747303,0.01203029283796204,0.8457875944836775,0.7992246270046911,0.9464259264544416,False,0.6388777117309353,0.626238245990618,0.6388777117309353,0.0001,COMPLETE
14,0.6073349393441605,gelu,256,0.2578587727409881,12,4.0,0.04137048158298101,406,5.0,75,0.9962584164530706,,,2,0.010902586090699383,2,mse,recon,0.0012889620887366893,False,0.0001,,,,,,,gelu,fedavg,256,0.2578587727409881,12,4.0,4.0,-4.0,0.04137048158298101,5,406,5.0,"[406, 404]","[42, 43, 44, 45]",75,0.9950738916256158,,,2,0.010902586090699383,2,sgd,mse,120,recon,,,,,,,0.0012889620887366893,False,,,,0.0001,PRUNED
