number,values_0,params_activation,params_batch_size,params_beta,params_beta_warmup_rounds,params_clip_abs,params_dropout,params_first_layer,params_grad_clip,params_latent_dim,params_layer_1_dropoff,params_layer_2_dropoff,params_layer_3_dropoff,params_local_epochs,params_lr,params_n_layers,params_prox_mu,params_recon_type,params_score_type,params_sgd_momentum,params_sgd_nesterov,params_weight_decay,user_attrs_NF-BoT-IoT-v3__test_auroc,user_attrs_NF-BoT-IoT-v3__val_auroc,user_attrs_NF-CICIDS2018-v3__test_auroc,user_attrs_NF-CICIDS2018-v3__val_auroc,user_attrs_NF-ToN-IoT-v3__test_auroc,user_attrs_NF-ToN-IoT-v3__val_auroc,user_attrs_activation,user_attrs_aggregation_method,user_attrs_batch_size,user_attrs_beta,user_attrs_beta_warmup_rounds,user_attrs_clip_abs,user_attrs_clip_max,user_attrs_clip_min,user_attrs_dropout,user_attrs_early_stop_patience,user_attrs_first_layer,user_attrs_grad_clip,user_attrs_hidden_dims,user_attrs_hpo_seeds,user_attrs_latent_dim,user_attrs_layer_1_dropoff,user_attrs_layer_2_dropoff,user_attrs_layer_3_dropoff,user_attrs_local_epochs,user_attrs_lr,user_attrs_n_layers,user_attrs_optimizer,user_attrs_prox_mu,user_attrs_recon_type,user_attrs_rounds,user_attrs_score_type,user_attrs_seed_seen_obj_mean,user_attrs_seed_seen_obj_std,user_attrs_seed_unseen_val_obj_mean,user_attrs_seed_unseen_val_obj_std,user_attrs_seen_test_mean,user_attrs_seen_test_min,user_attrs_sgd_momentum,user_attrs_sgd_nesterov,user_attrs_unseen__test_auroc,user_attrs_unseen__val_auroc,user_attrs_unseen_test_auroc,user_attrs_weight_decay,state
0,0.7864118794466367,relu,512,0.870804191700653,5,6.0,0.1692425840497844,338,5.0,95,0.6134257267821015,0.7756573845414456,,1,0.004307355413840528,3,0.007444899771978196,mse,recon,0.8069602043739,False,0.0001,0.537718965981172,0.5339864132377818,0.7693667876584606,0.776136911834992,0.7991775945024943,0.7963197290480034,relu,fedprox,512,0.870804191700653,5,6.0,6.0,-6.0,0.1692425840497844,10,338,5.0,"[338, 207, 160]","[42, 43, 44, 45]",95,0.6124260355029586,0.7729468599033816,,1,0.004307355413840528,3,sgd,0.007444899771978196,mse,120,recon,0.7864118794466367,0.006838658084536202,0.5347431264712358,0.009630124193621489,0.7842721910804774,0.7693667876584606,0.8069602043739,False,0.537718965981172,0.5339864132377818,0.537718965981172,0.0001,COMPLETE
1,0.7452907960385067,elu,128,0.7547284009180051,13,4.0,0.3465236631533464,368,5.0,58,,,,5,0.0025590868054805567,1,0.012206427790432172,huber,recon+kl,0.6358480938141586,True,1e-08,0.5282977037902608,0.5244521940111885,0.6913655419886686,0.6959157537007871,0.7965575388425056,0.7943487317971326,elu,fedprox,128,0.7547284009180051,13,4.0,4.0,-4.0,0.3465236631533464,2,368,5.0,[368],"[42, 43, 44, 45]",58,,,,5,0.0025590868054805567,1,sgd,0.012206427790432172,huber,120,recon+kl,0.7452907960385067,0.0028540826936852173,0.5263604638144216,0.006217669863715501,0.743961540415587,0.6913655419886686,0.6358480938141586,True,0.5282977037902608,0.5244521940111885,0.5282977037902608,1e-08,COMPLETE
2,0.6967287481700697,relu,512,0.14801245329920112,5,5.0,0.3700529958455945,728,,55,0.777191624858886,,,4,0.0012692690224631797,2,0.09226484528890701,huber,recon+kl,0.487471746489052,False,1e-08,0.5493358811232103,0.5481396335623334,0.6016887669562566,0.6050467767118081,0.7890412011869615,0.7884436048639454,relu,fedprox,512,0.14801245329920112,5,5.0,5.0,-5.0,0.3700529958455945,2,728,,"[728, 565]","[42, 43, 44, 45]",55,0.7760989010989011,,,4,0.0012692690224631797,2,sgd,0.09226484528890701,huber,120,recon+kl,0.6967287481700697,0.000732181010838424,0.5484997393878154,0.0021229976381180182,0.6953649840716091,0.6016887669562566,0.487471746489052,False,0.5493358811232103,0.5481396335623334,0.5493358811232103,1e-08,COMPLETE
3,0.6832654195150543,leakyrelu,256,0.9557843531465328,11,4.0,0.10301682566163324,263,2.0,127,0.6462447063962125,0.7600050765362417,0.9509556863303352,7,0.001043682058992719,4,0.01973732469708263,huber,recon,0.88120502814454,False,1e-06,0.5408864859880965,0.5382348857869453,0.5751347374402803,0.577263427407746,0.7899150329011122,0.7891588624137016,leakyrelu,fedprox,256,0.9557843531465328,11,4.0,4.0,-4.0,0.10301682566163324,2,263,2.0,"[263, 169, 128, 121]","[42, 43, 44, 45]",127,0.6425855513307985,0.757396449704142,0.9453125,7,0.001043682058992719,4,sgd,0.01973732469708263,huber,120,recon,0.6832654195150543,0.0005591445699011289,0.5381468145099833,0.001566176161844761,0.6825248851706962,0.5751347374402803,0.88120502814454,False,0.5408864859880965,0.5382348857869453,0.5408864859880965,1e-06,COMPLETE
4,0.7504574164276938,elu,64,0.10224967616933398,8,3.0,0.37103063183015583,145,2.0,48,0.7913355439307024,0.9074218514467048,,4,0.0006989652193636288,3,0.009122095488746505,mse,recon,0.7710621308698205,True,1e-08,0.5436777083439178,0.5387865403920662,0.6922979973317829,0.6970994163745364,0.8065222480011892,0.8021323157227236,elu,fedprox,64,0.10224967616933398,8,3.0,3.0,-3.0,0.37103063183015583,2,145,2.0,"[145, 114, 103]","[42, 43, 44, 45]",48,0.7862068965517242,0.9035087719298246,,4,0.0006989652193636288,3,sgd,0.009122095488746505,mse,120,recon,0.7504574164276938,0.04566441867565156,0.5377665541659375,0.0037369859024546813,0.749410122666486,0.6922979973317829,0.7710621308698205,True,0.5436777083439178,0.5387865403920662,0.5436777083439178,1e-08,COMPLETE
5,0.7063569777148356,relu,512,0.25591321494179153,0,6.0,0.01963885224911053,803,1.0,88,0.7868870568294122,0.5513176296053979,0.8499170373864573,8,0.014196929441766948,4,0.00019548546690656887,huber,recon,0.08673152509304173,True,1e-05,0.5551263733885794,0.5549623276619606,0.6212160992471414,0.626162302706227,0.7868757115088976,0.7865884336172784,relu,fedprox,512,0.25591321494179153,0,6.0,6.0,-6.0,0.01963885224911053,2,803,1.0,"[803, 631, 347, 294]","[42, 43, 44, 45]",88,0.7858032378580324,0.5499207606973059,0.8472622478386167,8,0.014196929441766948,4,sgd,0.00019548546690656887,huber,120,recon,0.7063569777148356,0.00043812430257314446,0.5549207102716953,0.0008696841355753471,0.7040459053780195,0.6212160992471414,0.08673152509304173,True,0.5551263733885794,0.5549623276619606,0.5551263733885794,1e-05,COMPLETE
6,0.6857248441031083,elu,512,0.24609500748773422,10,4.0,0.3195385324852248,989,2.0,104,0.6709153067825082,,,5,0.0014447610932163098,2,0.00013730479264158517,huber,recon+kl,0.20331131916292894,True,1e-10,0.5378854943446214,0.5352026965363983,0.5756649656311801,0.5778696212279444,0.7944104707766243,0.7936119084714953,elu,fedprox,512,0.24609500748773422,10,4.0,4.0,-4.0,0.3195385324852248,2,989,2.0,"[989, 663]","[42, 43, 44, 45]",104,0.6703741152679474,,,5,0.0014447610932163098,2,sgd,0.00013730479264158517,huber,120,recon+kl,0.6857248441031083,0.000842853559221731,0.5354224116599962,0.0023149561318748946,0.6850377182039022,0.5756649656311801,0.20331131916292894,True,0.5378854943446214,0.5352026965363983,0.5378854943446214,1e-10,COMPLETE
7,0.8045985540375131,elu,64,0.1964873496686956,9,5.0,0.1719253351546328,997,,123,0.9358414665711536,0.8550808256603493,,8,0.011837733033502289,3,0.0016608739766509342,huber,recon,0.34539750208823267,True,0.0,0.5535874255091346,0.5517753117232204,0.7922368898899408,0.7916462328367591,0.8294939231259914,0.8200931817925226,elu,fedprox,64,0.1964873496686956,9,5.0,5.0,-5.0,0.1719253351546328,2,997,,"[997, 933, 797]","[42, 43, 44, 45]",123,0.9358074222668004,0.8542336548767417,,8,0.011837733033502289,3,sgd,0.0016608739766509342,huber,120,recon,0.8045985540375131,0.00337997372406094,0.5521117936892336,0.003398794986686134,0.8108654065079661,0.7922368898899408,0.34539750208823267,True,0.5535874255091346,0.5517753117232204,0.5535874255091346,0.0,COMPLETE
8,0.7864688148590342,relu,64,1.174470001684114,11,5.0,0.2723611995979826,887,,119,0.5133055577799798,,,3,0.0007129456764093419,2,0.016798916307408533,mse,recon,0.31952255254695466,True,0.0001,0.5443429938600898,0.5420973500586143,0.7660247421632882,0.7725931124057044,0.8038516222873282,0.799308419231862,relu,fedprox,64,1.174470001684114,11,5.0,5.0,-5.0,0.2723611995979826,3,887,,"[887, 455]","[42, 43, 44, 45]",119,0.5129650507328072,,,3,0.0007129456764093419,2,sgd,0.016798916307408533,mse,120,recon,0.7864688148590342,0.0004509871123654882,0.539245728241705,0.0030096442702379953,0.7849381822253082,0.7660247421632882,0.31952255254695466,True,0.5443429938600898,0.5420973500586143,0.5443429938600898,0.0001,COMPLETE
9,0.7286517341529917,elu,64,0.12993318822468677,5,4.0,0.2322852853577816,385,1.0,118,0.7714943912725968,0.8469923514291213,,2,0.0021657811888391334,3,0.013223462282085669,mse,recon,0.7685156790761958,False,0.0001,,,,,,,elu,fedprox,64,0.12993318822468677,5,4.0,4.0,-4.0,0.2322852853577816,5,385,1.0,"[385, 297, 251]","[42, 43, 44, 45]",118,0.7714285714285715,0.8451178451178452,,2,0.0021657811888391334,3,sgd,0.013223462282085669,mse,120,recon,,,,,,,0.7685156790761958,False,,,,0.0001,PRUNED
