number,values_0,params_activation,params_batch_size,params_beta,params_beta_warmup_rounds,params_clip_abs,params_dropout,params_first_layer,params_grad_clip,params_latent_dim,params_layer_1_dropoff,params_layer_2_dropoff,params_layer_3_dropoff,params_local_epochs,params_lr,params_n_layers,params_prox_mu,params_recon_type,params_score_type,params_sgd_momentum,params_sgd_nesterov,params_weight_decay,user_attrs_NF-BoT-IoT-v3__test_auroc,user_attrs_NF-BoT-IoT-v3__val_auroc,user_attrs_NF-CICIDS2018-v3__test_auroc,user_attrs_NF-CICIDS2018-v3__val_auroc,user_attrs_NF-ToN-IoT-v3__test_auroc,user_attrs_NF-ToN-IoT-v3__val_auroc,user_attrs_activation,user_attrs_aggregation_method,user_attrs_batch_size,user_attrs_beta,user_attrs_beta_warmup_rounds,user_attrs_clip_abs,user_attrs_clip_max,user_attrs_clip_min,user_attrs_dropout,user_attrs_early_stop_patience,user_attrs_first_layer,user_attrs_grad_clip,user_attrs_hidden_dims,user_attrs_hpo_seeds,user_attrs_latent_dim,user_attrs_layer_1_dropoff,user_attrs_layer_2_dropoff,user_attrs_layer_3_dropoff,user_attrs_local_epochs,user_attrs_lr,user_attrs_n_layers,user_attrs_optimizer,user_attrs_prox_mu,user_attrs_recon_type,user_attrs_rounds,user_attrs_score_type,user_attrs_seed_seen_obj_mean,user_attrs_seed_seen_obj_std,user_attrs_seed_unseen_val_obj_mean,user_attrs_seed_unseen_val_obj_std,user_attrs_seen_test_mean,user_attrs_seen_test_min,user_attrs_sgd_momentum,user_attrs_sgd_nesterov,user_attrs_unseen__test_auroc,user_attrs_unseen__val_auroc,user_attrs_unseen_test_auroc,user_attrs_weight_decay,state
0,0.7912736462043765,relu,512,0.870804191700653,5,6.0,0.1692425840497844,338,5.0,95,0.6134257267821015,0.7756573845414456,,1,0.004307355413840528,3,0.007444899771978196,mse,recon,0.8069602043739,False,0.0001,0.737305006576459,0.7507098624306368,0.6000160412915074,0.607777706626888,0.836234116298893,0.8325442640857594,relu,fedprox,512,0.870804191700653,5,6.0,6.0,-6.0,0.1692425840497844,10,338,5.0,"[338, 207, 160]","[42, 43, 44, 45]",95,0.6124260355029586,0.7729468599033816,,1,0.004307355413840528,3,sgd,0.007444899771978196,mse,120,recon,0.7912736462043765,0.023250290390412643,0.6079408244518206,0.0350328696021041,0.786769561437676,0.737305006576459,0.8069602043739,False,0.6000160412915074,0.607777706626888,0.6000160412915074,0.0001,COMPLETE
1,0.746491055686332,elu,128,0.7547284009180051,13,4.0,0.3465236631533464,368,5.0,58,,,,5,0.0025590868054805567,1,0.012206427790432172,huber,recon+kl,0.6358480938141586,True,1e-08,0.6580020830158004,0.6646431441825151,0.5906373520296702,0.6012884220684893,0.8295884867746373,0.8259940161513696,elu,fedprox,128,0.7547284009180051,13,4.0,4.0,-4.0,0.3465236631533464,2,368,5.0,[368],"[42, 43, 44, 45]",58,,,,5,0.0025590868054805567,1,sgd,0.012206427790432172,huber,120,recon+kl,0.746491055686332,0.007713302024394376,0.6017949605412454,0.009179506008292978,0.7437952848952188,0.6580020830158004,0.6358480938141586,True,0.5906373520296702,0.6012884220684893,0.5906373520296702,1e-08,COMPLETE
2,0.6831236249061514,relu,512,0.14801245329920112,5,5.0,0.3700529958455945,728,,55,0.777191624858886,,,4,0.0012692690224631797,2,0.09226484528890701,huber,recon+kl,0.487471746489052,False,1e-08,0.5158766165952571,0.5237406704130845,0.52221780969101,0.5269236436876341,0.8492359641051406,0.843419883392512,relu,fedprox,512,0.14801245329920112,5,5.0,5.0,-5.0,0.3700529958455945,2,728,,"[728, 565]","[42, 43, 44, 45]",55,0.7760989010989011,,,4,0.0012692690224631797,2,sgd,0.09226484528890701,huber,120,recon+kl,0.6831236249061514,0.0006090739934373223,0.5269287006930214,0.0004688141673730933,0.6825562903501988,0.5158766165952571,0.487471746489052,False,0.52221780969101,0.5269236436876341,0.52221780969101,1e-08,COMPLETE
3,0.6667042487430401,leakyrelu,256,0.9557843531465328,11,4.0,0.10301682566163324,263,2.0,127,0.6462447063962125,0.7600050765362417,0.9509556863303352,7,0.001043682058992719,4,0.01973732469708263,huber,recon,0.88120502814454,False,1e-06,0.48856499592617053,0.4942299568531597,0.5242642551101627,0.5286166379475802,0.8455755954094621,0.8390071757730396,leakyrelu,fedprox,256,0.9557843531465328,11,4.0,4.0,-4.0,0.10301682566163324,2,263,2.0,"[263, 169, 128, 121]","[42, 43, 44, 45]",127,0.6425855513307985,0.757396449704142,0.9453125,7,0.001043682058992719,4,sgd,0.01973732469708263,huber,120,recon,0.6667042487430401,0.0014057062510067979,0.5286640032712945,0.0018839045695707812,0.6670702956678163,0.48856499592617053,0.88120502814454,False,0.5242642551101627,0.5286166379475802,0.5242642551101627,1e-06,COMPLETE
4,0.6720604480318605,elu,64,0.10224967616933398,8,3.0,0.37103063183015583,145,2.0,48,0.7913355439307024,0.9074218514467048,,4,0.0006989652193636288,3,0.009122095488746505,mse,recon,0.7710621308698205,True,1e-08,0.5135008589852872,0.5172783614502833,0.5371087759506701,0.5408916364892811,0.8346829657478441,0.8271431030208434,elu,fedprox,64,0.10224967616933398,8,3.0,3.0,-3.0,0.37103063183015583,2,145,2.0,"[145, 114, 103]","[42, 43, 44, 45]",48,0.7862068965517242,0.9035087719298246,,4,0.0006989652193636288,3,sgd,0.009122095488746505,mse,120,recon,0.6720604480318605,0.04408955843510159,0.5418361204489304,0.033265598799969445,0.6740919123665656,0.5135008589852872,0.7710621308698205,True,0.5371087759506701,0.5408916364892811,0.5371087759506701,1e-08,COMPLETE
5,0.6991614250217804,relu,512,0.25591321494179153,0,6.0,0.01963885224911053,803,1.0,88,0.7868870568294122,0.5513176296053979,0.8499170373864573,8,0.014196929441766948,4,0.00019548546690656887,huber,recon,0.08673152509304173,True,1e-05,,,,,,,relu,fedprox,512,0.25591321494179153,0,6.0,6.0,-6.0,0.01963885224911053,2,803,1.0,"[803, 631, 347, 294]","[42, 43, 44, 45]",88,0.7858032378580324,0.5499207606973059,0.8472622478386167,8,0.014196929441766948,4,sgd,0.00019548546690656887,huber,120,recon,,,,,,,0.08673152509304173,True,,,,1e-05,PRUNED
6,0.6607302568629443,elu,512,0.24609500748773422,10,4.0,0.3195385324852248,989,2.0,104,0.6709153067825082,,,5,0.0014447610932163098,2,0.00013730479264158517,huber,recon+kl,0.20331131916292894,True,1e-10,0.47685029006042057,0.48272963567451516,0.5253143999051635,0.5302038320105148,0.84571890388585,0.8390501603188314,elu,fedprox,512,0.24609500748773422,10,4.0,4.0,-4.0,0.3195385324852248,2,989,2.0,"[989, 663]","[42, 43, 44, 45]",104,0.6703741152679474,,,5,0.0014447610932163098,2,sgd,0.00013730479264158517,huber,120,recon+kl,0.6607302568629443,0.001402621832769112,0.5297476283820782,0.0007496680216002062,0.6612845969731354,0.47685029006042057,0.20331131916292894,True,0.5253143999051635,0.5302038320105148,0.5253143999051635,1e-10,COMPLETE
7,0.792150139902642,elu,64,0.1964873496686956,9,5.0,0.1719253351546328,997,,123,0.9358414665711536,0.8550808256603493,,8,0.011837733033502289,3,0.0016608739766509342,huber,recon,0.34539750208823267,True,0.0,0.7895760488934802,0.7908247928744676,0.5570308839551332,0.5594196956952888,0.7929777153061206,0.7945327538710788,elu,fedprox,64,0.1964873496686956,9,5.0,5.0,-5.0,0.1719253351546328,2,997,,"[997, 933, 797]","[42, 43, 44, 45]",123,0.9358074222668004,0.8542336548767417,,8,0.011837733033502289,3,sgd,0.0016608739766509342,huber,120,recon,0.792150139902642,0.009083750943218252,0.5590392148422872,0.02516272516225182,0.7912768820998004,0.7895760488934802,0.34539750208823267,True,0.5570308839551332,0.5594196956952888,0.5570308839551332,0.0,COMPLETE
8,0.8246315868671217,relu,64,1.174470001684114,11,5.0,0.2723611995979826,887,,119,0.5133055577799798,,,3,0.0007129456764093419,2,0.016798916307408533,mse,recon,0.31952255254695466,True,0.0001,0.8362178021643043,0.8444578631494372,0.6527911659055285,0.6581920370746706,0.8080005964914261,0.8044881452033246,relu,fedprox,64,1.174470001684114,11,5.0,5.0,-5.0,0.2723611995979826,3,887,,"[887, 455]","[42, 43, 44, 45]",119,0.5129650507328072,,,3,0.0007129456764093419,2,sgd,0.016798916307408533,mse,120,recon,0.8246315868671217,0.0028024285063555044,0.6586004049602872,0.004079810835929043,0.8221091993278652,0.8080005964914261,0.31952255254695466,True,0.6527911659055285,0.6581920370746706,0.6527911659055285,0.0001,COMPLETE
9,0.7042777914199319,elu,64,0.12993318822468677,5,4.0,0.2322852853577816,385,1.0,118,0.7714943912725968,0.8469923514291213,,2,0.0021657811888391334,3,0.013223462282085669,mse,recon,0.7685156790761958,False,0.0001,,,,,,,elu,fedprox,64,0.12993318822468677,5,4.0,4.0,-4.0,0.2322852853577816,5,385,1.0,"[385, 297, 251]","[42, 43, 44, 45]",118,0.7714285714285715,0.8451178451178452,,2,0.0021657811888391334,3,sgd,0.013223462282085669,mse,120,recon,,,,,,,0.7685156790761958,False,,,,0.0001,PRUNED
