number,values_0,params_activation,params_batch_size,params_beta,params_beta_warmup_rounds,params_clip_abs,params_dropout,params_first_layer,params_grad_clip,params_latent_dim,params_layer_1_dropoff,params_layer_2_dropoff,params_layer_3_dropoff,params_local_epochs,params_lr,params_n_layers,params_prox_mu,params_recon_type,params_score_type,params_sgd_momentum,params_sgd_nesterov,params_weight_decay,user_attrs_NF-BoT-IoT-v3__test_auroc,user_attrs_NF-BoT-IoT-v3__val_auroc,user_attrs_NF-CICIDS2018-v3__test_auroc,user_attrs_NF-CICIDS2018-v3__val_auroc,user_attrs_NF-ToN-IoT-v3__test_auroc,user_attrs_NF-ToN-IoT-v3__val_auroc,user_attrs_activation,user_attrs_aggregation_method,user_attrs_batch_size,user_attrs_beta,user_attrs_beta_warmup_rounds,user_attrs_clip_abs,user_attrs_clip_max,user_attrs_clip_min,user_attrs_dropout,user_attrs_early_stop_patience,user_attrs_first_layer,user_attrs_grad_clip,user_attrs_hidden_dims,user_attrs_hpo_seeds,user_attrs_latent_dim,user_attrs_layer_1_dropoff,user_attrs_layer_2_dropoff,user_attrs_layer_3_dropoff,user_attrs_local_epochs,user_attrs_lr,user_attrs_n_layers,user_attrs_optimizer,user_attrs_prox_mu,user_attrs_recon_type,user_attrs_rounds,user_attrs_score_type,user_attrs_seed_seen_obj_mean,user_attrs_seed_seen_obj_std,user_attrs_seed_unseen_val_obj_mean,user_attrs_seed_unseen_val_obj_std,user_attrs_seen_test_mean,user_attrs_seen_test_min,user_attrs_sgd_momentum,user_attrs_sgd_nesterov,user_attrs_unseen__test_auroc,user_attrs_unseen__val_auroc,user_attrs_unseen_test_auroc,user_attrs_weight_decay,state
0,0.8112681120176088,relu,512,0.870804191700653,5,6.0,0.1692425840497844,338,5.0,95,0.6134257267821015,0.7756573845414456,,1,0.004307355413840528,3,0.007444899771978196,mse,recon,0.8069602043739,False,0.0001,0.8164805688684162,0.8249047166101222,0.7883350362504963,0.7986511408368945,0.8284234280004741,0.8186327362774042,relu,fedprox,512,0.870804191700653,5,6.0,6.0,-6.0,0.1692425840497844,10,338,5.0,"[338, 207, 160]","[42, 43, 44, 45]",95,0.6124260355029586,0.7729468599033816,,1,0.004307355413840528,3,sgd,0.007444899771978196,mse,120,recon,0.8112681120176088,0.003514523881166055,0.8186322511577016,0.004703922340650318,0.8024078025594563,0.7883350362504963,0.8069602043739,False,0.8284234280004741,0.8186327362774042,0.8284234280004741,0.0001,COMPLETE
1,0.699468954161892,elu,128,0.7547284009180051,13,4.0,0.3465236631533464,368,5.0,58,,,,5,0.0025590868054805567,1,0.012206427790432172,huber,recon+kl,0.6358480938141586,True,1e-08,0.6755716909308841,0.6751183927284496,0.7143873355650014,0.7218326564002401,0.8237773242937597,0.8156942339318946,elu,fedprox,128,0.7547284009180051,13,4.0,4.0,-4.0,0.3465236631533464,2,368,5.0,[368],"[42, 43, 44, 45]",58,,,,5,0.0025590868054805567,1,sgd,0.012206427790432172,huber,120,recon+kl,0.699468954161892,0.004229026156202012,0.8175181811104149,0.0020440273770404743,0.6949795132479428,0.6755716909308841,0.6358480938141586,True,0.8237773242937597,0.8156942339318946,0.8237773242937597,1e-08,COMPLETE
2,0.6005352369783288,relu,512,0.14801245329920112,5,5.0,0.3700529958455945,728,,55,0.777191624858886,,,4,0.0012692690224631797,2,0.09226484528890701,huber,recon+kl,0.487471746489052,False,1e-08,0.5628600540793804,0.5670676225112476,0.628842176271684,0.6342045583376141,0.8316504183907527,0.8250204691113407,relu,fedprox,512,0.14801245329920112,5,5.0,5.0,-5.0,0.3700529958455945,2,728,,"[728, 565]","[42, 43, 44, 45]",55,0.7760989010989011,,,4,0.0012692690224631797,2,sgd,0.09226484528890701,huber,120,recon+kl,0.6005352369783288,0.00034238300527388265,0.8251642115493535,0.0008605309632736249,0.5958511151755322,0.5628600540793804,0.487471746489052,False,0.8316504183907527,0.8250204691113407,0.8316504183907527,1e-08,COMPLETE
3,0.5867924646738772,leakyrelu,256,0.9557843531465328,11,4.0,0.10301682566163324,263,2.0,127,0.6462447063962125,0.7600050765362417,0.9509556863303352,7,0.001043682058992719,4,0.01973732469708263,huber,recon,0.88120502814454,False,1e-06,0.5521179020813223,0.554625742791768,0.6137755461095399,0.619087875582614,0.8381680751014693,0.8299651913382671,leakyrelu,fedprox,256,0.9557843531465328,11,4.0,4.0,-4.0,0.10301682566163324,2,263,2.0,"[263, 169, 128, 121]","[42, 43, 44, 45]",127,0.6425855513307985,0.757396449704142,0.9453125,7,0.001043682058992719,4,sgd,0.01973732469708263,huber,120,recon,0.5867924646738772,0.0003638735645908122,0.830295337346949,0.0007068407385040981,0.5829467240954311,0.5521179020813223,0.88120502814454,False,0.8381680751014693,0.8299651913382671,0.8381680751014693,1e-06,COMPLETE
4,0.8160006678775253,elu,64,0.10224967616933398,8,3.0,0.37103063183015583,145,2.0,48,0.7913355439307024,0.9074218514467048,,4,0.0006989652193636288,3,0.009122095488746505,mse,recon,0.7710621308698205,True,1e-08,0.8188062080268552,0.8243094747347307,0.7999803082562316,0.8085032898760164,0.8078150349709563,0.7994809748401046,elu,fedprox,64,0.10224967616933398,8,3.0,3.0,-3.0,0.37103063183015583,2,145,2.0,"[145, 114, 103]","[42, 43, 44, 45]",48,0.7862068965517242,0.9035087719298246,,4,0.0006989652193636288,3,sgd,0.009122095488746505,mse,120,recon,0.8160006678775253,0.00241395396747984,0.8018415967153456,0.0032940672817221204,0.8093932581415434,0.7999803082562316,0.7710621308698205,True,0.8078150349709563,0.7994809748401046,0.8078150349709563,1e-08,COMPLETE
5,0.6150575745943576,relu,512,0.25591321494179153,0,6.0,0.01963885224911053,803,1.0,88,0.7868870568294122,0.5513176296053979,0.8499170373864573,8,0.014196929441766948,4,0.00019548546690656887,huber,recon,0.08673152509304173,True,1e-05,,,,,,,relu,fedprox,512,0.25591321494179153,0,6.0,6.0,-6.0,0.01963885224911053,2,803,1.0,"[803, 631, 347, 294]","[42, 43, 44, 45]",88,0.7858032378580324,0.5499207606973059,0.8472622478386167,8,0.014196929441766948,4,sgd,0.00019548546690656887,huber,120,recon,,,,,,,0.08673152509304173,True,,,,1e-05,PRUNED
6,0.5793931029032385,elu,512,0.24609500748773422,10,4.0,0.3195385324852248,989,2.0,104,0.6709153067825082,,,5,0.0014447610932163098,2,0.00013730479264158517,huber,recon+kl,0.20331131916292894,True,1e-10,0.5394670527866687,0.5416308119104474,0.611187798833737,0.6164932349028396,0.8424861179321881,0.8348622689301353,elu,fedprox,512,0.24609500748773422,10,4.0,4.0,-4.0,0.3195385324852248,2,989,2.0,"[989, 663]","[42, 43, 44, 45]",104,0.6703741152679474,,,5,0.0014447610932163098,2,sgd,0.00013730479264158517,huber,120,recon+kl,0.5793931029032385,0.0020641573595249546,0.8346190769530389,0.0002896909592490853,0.5753274258102028,0.5394670527866687,0.20331131916292894,True,0.8424861179321881,0.8348622689301353,0.8424861179321881,1e-10,COMPLETE
7,0.8249052164304223,elu,64,0.1964873496686956,9,5.0,0.1719253351546328,997,,123,0.9358414665711536,0.8550808256603493,,8,0.011837733033502289,3,0.0016608739766509342,huber,recon,0.34539750208823267,True,0.0,0.8469696071624131,0.8485817040367604,0.7992169497648846,0.8023577199773821,0.733092412892494,0.7240232805711264,elu,fedprox,64,0.1964873496686956,9,5.0,5.0,-5.0,0.1719253351546328,2,997,,"[997, 933, 797]","[42, 43, 44, 45]",123,0.9358074222668004,0.8542336548767417,,8,0.011837733033502289,3,sgd,0.0016608739766509342,huber,120,recon,0.8249052164304223,0.013481693319923209,0.7226195793606441,0.007244473189745204,0.8230932784636489,0.7992169497648846,0.34539750208823267,True,0.733092412892494,0.7240232805711264,0.733092412892494,0.0,COMPLETE
8,0.7867831871270753,relu,64,1.174470001684114,11,5.0,0.2723611995979826,887,,119,0.5133055577799798,,,3,0.0007129456764093419,2,0.016798916307408533,mse,recon,0.31952255254695466,True,0.0001,,,,,,,relu,fedprox,64,1.174470001684114,11,5.0,5.0,-5.0,0.2723611995979826,3,887,,"[887, 455]","[42, 43, 44, 45]",119,0.5129650507328072,,,3,0.0007129456764093419,2,sgd,0.016798916307408533,mse,120,recon,,,,,,,0.31952255254695466,True,,,,0.0001,PRUNED
9,0.7465204201289514,elu,64,0.12993318822468677,5,4.0,0.2322852853577816,385,1.0,118,0.7714943912725968,0.8469923514291213,,2,0.0021657811888391334,3,0.013223462282085669,mse,recon,0.7685156790761958,False,0.0001,0.7088770155106587,0.7146022706424608,0.7701246046127416,0.7794120431524856,0.8360043165657147,0.8256378059841074,elu,fedprox,64,0.12993318822468677,5,4.0,4.0,-4.0,0.2322852853577816,5,385,1.0,"[385, 297, 251]","[42, 43, 44, 45]",118,0.7714285714285715,0.8451178451178452,,2,0.0021657811888391334,3,sgd,0.013223462282085669,mse,120,recon,0.7465204201289514,0.010272426469208628,0.8255595988077697,0.001506064363947916,0.7395008100617002,0.7088770155106587,0.7685156790761958,False,0.8360043165657147,0.8256378059841074,0.8360043165657147,0.0001,COMPLETE
