number,values_0,params_activation,params_batch_size,params_beta,params_beta_warmup_rounds,params_clip_abs,params_dropout,params_first_layer,params_grad_clip,params_latent_dim,params_layer_1_dropoff,params_layer_2_dropoff,params_layer_3_dropoff,params_local_epochs,params_lr,params_n_layers,params_recon_type,params_score_type,params_sgd_momentum,params_sgd_nesterov,params_weight_decay,user_attrs_NF-BoT-IoT-v3__test_auroc,user_attrs_NF-BoT-IoT-v3__val_auroc,user_attrs_NF-CICIDS2018-v3__test_auroc,user_attrs_NF-CICIDS2018-v3__val_auroc,user_attrs_NF-ToN-IoT-v3__test_auroc,user_attrs_NF-ToN-IoT-v3__val_auroc,user_attrs_activation,user_attrs_aggregation_method,user_attrs_batch_size,user_attrs_beta,user_attrs_beta_warmup_rounds,user_attrs_clip_abs,user_attrs_clip_max,user_attrs_clip_min,user_attrs_dropout,user_attrs_early_stop_patience,user_attrs_first_layer,user_attrs_grad_clip,user_attrs_hidden_dims,user_attrs_hpo_seeds,user_attrs_latent_dim,user_attrs_layer_1_dropoff,user_attrs_layer_2_dropoff,user_attrs_layer_3_dropoff,user_attrs_local_epochs,user_attrs_lr,user_attrs_n_layers,user_attrs_optimizer,user_attrs_recon_type,user_attrs_rounds,user_attrs_score_type,user_attrs_seed_seen_obj_mean,user_attrs_seed_seen_obj_std,user_attrs_seed_unseen_val_obj_mean,user_attrs_seed_unseen_val_obj_std,user_attrs_seen_test_mean,user_attrs_seen_test_min,user_attrs_sgd_momentum,user_attrs_sgd_nesterov,user_attrs_unseen__test_auroc,user_attrs_unseen__val_auroc,user_attrs_unseen_test_auroc,user_attrs_weight_decay,state
0,0.706315382375466,relu,512,0.870804191700653,5,6.0,0.1692425840497844,338,5.0,95,0.6134257267821015,0.7756573845414456,,1,0.004307355413840528,3,mse,recon,0.8069602043739,False,0.0001,0.5528909041643381,0.5523708623111503,0.6210433237179668,0.6258356995414355,0.7866599020399254,0.7865480804783598,relu,scaffold,512,0.870804191700653,5,6.0,6.0,-6.0,0.1692425840497844,10,338,5.0,"[338, 207, 160]","[42, 43, 44, 45]",95,0.6124260355029586,0.7729468599033816,,1,0.004307355413840528,3,sgd,mse,120,recon,0.706315382375466,0.00040788129934833043,0.5524289443701182,0.0017506516850686019,0.703851612878946,0.6210433237179668,0.8069602043739,False,0.5528909041643381,0.5523708623111503,0.5528909041643381,0.0001,COMPLETE
1,0.7696538823806406,leakyrelu,64,1.2471330196850028,1,8.0,0.10018214615860269,175,2.0,112,0.6586427409101605,0.7074131059768158,,1,0.004987564371383458,3,mse,recon,0.5566397249341022,True,1e-10,0.5230125357283311,0.5230666039362788,0.7550750506641377,0.7619468077124272,0.7785202872943562,0.7781457778238787,leakyrelu,scaffold,64,1.2471330196850028,1,8.0,8.0,-8.0,0.10018214615860269,10,175,2.0,"[175, 115, 81]","[42, 43, 44, 45]",112,0.6571428571428571,0.7043478260869566,,1,0.004987564371383458,3,sgd,mse,120,recon,0.7696538823806406,0.0010243815535717637,0.5219802592150399,0.004187379083566011,0.766797668979247,0.7550750506641377,0.5566397249341022,True,0.5230125357283311,0.5230666039362788,0.5230125357283311,1e-10,COMPLETE
2,0.6967299683196253,relu,512,0.14801245329920112,5,5.0,0.3700529958455945,728,,55,0.777191624858886,,,4,0.0012692690224631797,2,huber,recon+kl,0.487471746489052,False,1e-08,0.5493377533912513,0.548141088921442,0.601691476570306,0.6050499667413691,0.7890399028302295,0.7884416349839398,relu,scaffold,512,0.14801245329920112,5,5.0,5.0,-5.0,0.3700529958455945,2,728,,"[728, 565]","[42, 43, 44, 45]",55,0.7760989010989011,,,4,0.0012692690224631797,2,sgd,huber,120,recon+kl,0.6967299683196253,0.0007316460696493707,0.5485018268725974,0.002121195328683666,0.6953656897002678,0.601691476570306,0.487471746489052,False,0.5493377533912513,0.548141088921442,0.5493377533912513,1e-08,COMPLETE
3,0.6970728376950593,elu,512,0.39364680343716085,12,5.0,0.3934523539646893,934,5.0,117,0.6038179305981622,0.6462447063962125,0.7600050765362417,2,0.0004439567439268961,4,mse,recon+kl,0.2820177367066455,False,1e-05,0.5497072958239955,0.5482166352897123,0.602524212471375,0.6060701734764538,0.7893388071300482,0.7882488660547454,elu,scaffold,512,0.39364680343716085,12,5.0,5.0,-5.0,0.3934523539646893,5,934,5.0,"[934, 563, 363, 275]","[42, 43, 44, 45]",117,0.6027837259100642,0.6447602131438721,0.7575757575757576,2,0.0004439567439268961,4,sgd,mse,120,recon+kl,0.6970728376950593,0.00034277819192186796,0.5484030094591874,0.001088484060327863,0.6959315098007116,0.602524212471375,0.2820177367066455,False,0.5497072958239955,0.5482166352897123,0.5497072958239955,1e-05,COMPLETE
4,0.7078570707402139,elu,512,1.1375582460015305,7,6.0,0.23306843514456188,799,5.0,18,0.7828210006129415,,,5,0.0017824536581493996,2,huber,recon+kl,0.5341074597943604,True,0.0001,0.5540846773207186,0.5533680920130362,0.6224201087232637,0.6268373835242294,0.7888476237249291,0.7881415810974314,elu,scaffold,512,1.1375582460015305,7,6.0,6.0,-6.0,0.23306843514456188,2,799,5.0,"[799, 625]","[42, 43, 44, 45]",18,0.7822277847309136,,,5,0.0017824536581493996,2,sgd,huber,120,recon+kl,0.7078570707402139,0.0006719156919506603,0.553521757354062,0.0011315380235199402,0.7056338662240964,0.6224201087232637,0.5341074597943604,True,0.5540846773207186,0.5533680920130362,0.5540846773207186,0.0001,COMPLETE
5,0.7440907789505327,relu,128,1.9353680216575784,3,5.0,0.2613459485412163,585,,16,,,,5,0.0011565851294673551,1,mse,recon,0.8032563467344402,True,1e-06,0.5317192877478404,0.5287082373678358,0.7215503132050407,0.7280256504249767,0.760098327001492,0.759378510502577,relu,scaffold,128,1.9353680216575784,3,5.0,5.0,-5.0,0.2613459485412163,2,585,,[585],"[42, 43, 44, 45]",16,,,,5,0.0011565851294673551,1,sgd,mse,120,recon,0.7440907789505327,0.0062772955155217984,0.5289570155718132,0.009093824740539823,0.7408243201032664,0.7215503132050407,0.8032563467344402,True,0.5317192877478404,0.5287082373678358,0.5317192877478404,1e-06,COMPLETE
6,0.7063977351201732,elu,64,1.9586915934766993,3,6.0,0.15007421099311924,582,1.0,127,0.8131546808549281,0.5027727042034522,0.7424547217212796,3,0.0003335500512764793,4,mse,recon,0.253560524051578,False,0.0,0.5538981561452729,0.5533734577309617,0.6212876688098962,0.6259834258412504,0.7869273823434775,0.786913228608632,elu,scaffold,64,1.9586915934766993,3,6.0,6.0,-6.0,0.15007421099311924,3,582,1.0,"[582, 473, 237, 175]","[42, 43, 44, 45]",127,0.8127147766323024,0.5010570824524313,0.7383966244725738,3,0.0003335500512764793,4,sgd,mse,120,recon,0.7063977351201732,0.00029670864404966957,0.5534958108002582,0.00038217688465687783,0.7041075255766869,0.6212876688098962,0.253560524051578,False,0.5538981561452729,0.5533734577309617,0.5538981561452729,0.0,COMPLETE
7,0.7090296418134845,elu,128,0.1023450253648446,1,8.0,0.3108649846282409,89,1.0,23,0.9437967302338874,0.508059315211687,,5,0.0005048304188888196,3,huber,recon,0.5666625534246501,True,1e-10,0.5493647460395416,0.5485782846778853,0.6395380766632609,0.6430054235794754,0.7762644583312164,0.7755398911873568,elu,scaffold,128,0.1023450253648446,1,8.0,8.0,-8.0,0.3108649846282409,2,89,1.0,"[89, 83, 42]","[42, 43, 44, 45]",23,0.9325842696629213,0.5060240963855421,,5,0.0005048304188888196,3,sgd,huber,120,recon,0.7090296418134845,0.0006207881285062928,0.5486875395152049,0.002005935236489511,0.7079012674972387,0.6395380766632609,0.5666625534246501,True,0.5493647460395416,0.5485782846778853,0.5493647460395416,1e-10,COMPLETE
8,0.6966224628533553,gelu,256,0.2843123798463446,10,5.0,0.07934627561068766,545,5.0,120,0.5017661054831242,0.7404445219374811,,8,0.0014147335594241423,3,mse,recon,0.23010881616765388,False,1e-10,0.5500917317256291,0.5486777930193568,0.6025196776311952,0.6059955679463948,0.7881527018050922,0.7873722841528975,gelu,scaffold,256,0.2843123798463446,10,5.0,5.0,-5.0,0.07934627561068766,2,545,5.0,"[545, 273, 202]","[42, 43, 44, 45]",120,0.5009174311926605,0.73992673992674,,8,0.0014147335594241423,3,sgd,mse,120,recon,0.6966224628533553,0.00041774164309133605,0.5487105018478062,0.00021763158452609523,0.6953361897181437,0.6025196776311952,0.23010881616765388,False,0.5500917317256291,0.5486777930193568,0.5500917317256291,1e-10,COMPLETE
9,0.6715824948700796,leakyrelu,512,0.7175251725080278,12,3.0,0.08620217891026392,413,2.0,89,0.7822851712980718,0.5956678603602783,,6,0.007931301977854554,3,huber,recon+kl,0.2256043089888526,True,1e-08,0.5349958979453975,0.533236050662256,0.5414102129869544,0.5447429724089786,0.8008119433765931,0.7984200180499811,leakyrelu,scaffold,512,0.7175251725080278,12,3.0,3.0,-3.0,0.08620217891026392,2,413,2.0,"[413, 323, 192]","[42, 43, 44, 45]",89,0.7820823244552058,0.5944272445820433,,6,0.007931301977854554,3,sgd,huber,120,recon+kl,0.6715824948700796,0.0004980238951664683,0.5332260542562579,0.002775402326093934,0.6711110781817737,0.5414102129869544,0.2256043089888526,True,0.5349958979453975,0.533236050662256,0.5349958979453975,1e-08,COMPLETE
