number,values_0,params_activation,params_batch_size,params_beta,params_beta_warmup_rounds,params_clip_abs,params_dropout,params_first_layer,params_grad_clip,params_latent_dim,params_layer_1_dropoff,params_layer_2_dropoff,params_layer_3_dropoff,params_local_epochs,params_lr,params_n_layers,params_recon_type,params_score_type,params_sgd_momentum,params_sgd_nesterov,params_weight_decay,user_attrs_NF-BoT-IoT-v3__test_auroc,user_attrs_NF-BoT-IoT-v3__val_auroc,user_attrs_NF-CICIDS2018-v3__test_auroc,user_attrs_NF-CICIDS2018-v3__val_auroc,user_attrs_NF-ToN-IoT-v3__test_auroc,user_attrs_NF-ToN-IoT-v3__val_auroc,user_attrs_activation,user_attrs_aggregation_method,user_attrs_batch_size,user_attrs_beta,user_attrs_beta_warmup_rounds,user_attrs_clip_abs,user_attrs_clip_max,user_attrs_clip_min,user_attrs_dropout,user_attrs_early_stop_patience,user_attrs_first_layer,user_attrs_grad_clip,user_attrs_hidden_dims,user_attrs_hpo_seeds,user_attrs_latent_dim,user_attrs_layer_1_dropoff,user_attrs_layer_2_dropoff,user_attrs_layer_3_dropoff,user_attrs_local_epochs,user_attrs_lr,user_attrs_n_layers,user_attrs_optimizer,user_attrs_recon_type,user_attrs_rounds,user_attrs_score_type,user_attrs_seed_seen_obj_mean,user_attrs_seed_seen_obj_std,user_attrs_seed_unseen_val_obj_mean,user_attrs_seed_unseen_val_obj_std,user_attrs_seen_test_mean,user_attrs_seen_test_min,user_attrs_sgd_momentum,user_attrs_sgd_nesterov,user_attrs_unseen__test_auroc,user_attrs_unseen__val_auroc,user_attrs_unseen_test_auroc,user_attrs_weight_decay,state
0,0.780773105281207,relu,512,0.870804191700653,5,6.0,0.1692425840497844,338,5.0,95,0.6134257267821015,0.7756573845414456,,1,0.004307355413840528,3,mse,recon,0.8069602043739,False,0.0001,0.7035370436229046,0.7197233853334613,0.578683174613927,0.5884385566789164,0.8462240211048828,0.8420786450189203,relu,scaffold,512,0.870804191700653,5,6.0,6.0,-6.0,0.1692425840497844,10,338,5.0,"[338, 207, 160]","[42, 43, 44, 45]",95,0.6124260355029586,0.7729468599033816,,1,0.004307355413840528,3,sgd,mse,120,recon,0.780773105281207,0.0009622470682715613,0.5876057384545038,0.0015946383396203744,0.7748805323638936,0.7035370436229046,0.8069602043739,False,0.578683174613927,0.5884385566789164,0.578683174613927,0.0001,COMPLETE
1,0.8198657709063659,leakyrelu,64,1.2471330196850028,1,8.0,0.10018214615860269,175,2.0,112,0.6586427409101605,0.7074131059768158,,1,0.004987564371383458,3,mse,recon,0.5566397249341022,True,1e-10,0.7941422378025029,0.8047501098428613,0.6394856343413473,0.6481168211758219,0.8389960409528058,0.8348905675794679,leakyrelu,scaffold,64,1.2471330196850028,1,8.0,8.0,-8.0,0.10018214615860269,10,175,2.0,"[175, 115, 81]","[42, 43, 44, 45]",112,0.6571428571428571,0.7043478260869566,,1,0.004987564371383458,3,sgd,mse,120,recon,0.8198657709063659,0.016163285572788635,0.6485937967478985,0.026023634635623887,0.8165691393776544,0.7941422378025029,0.5566397249341022,True,0.6394856343413473,0.6481168211758219,0.6394856343413473,1e-10,COMPLETE
2,0.6831398102635099,relu,512,0.14801245329920112,5,5.0,0.3700529958455945,728,,55,0.777191624858886,,,4,0.0012692690224631797,2,huber,recon+kl,0.487471746489052,False,1e-08,0.5159049452338077,0.5237743788821336,0.5222187693459857,0.5269254518610721,0.8492316738828958,0.8434162082432479,relu,scaffold,512,0.14801245329920112,5,5.0,5.0,-5.0,0.3700529958455945,2,728,,"[728, 565]","[42, 43, 44, 45]",55,0.7760989010989011,,,4,0.0012692690224631797,2,sgd,huber,120,recon+kl,0.6831398102635099,0.0006182036451363799,0.5269294210222771,0.00046793379830876655,0.6825683095583517,0.5159049452338077,0.487471746489052,False,0.5222187693459857,0.5269254518610721,0.5222187693459857,1e-08,COMPLETE
3,0.683909430621179,elu,512,0.39364680343716085,12,5.0,0.3934523539646893,934,5.0,117,0.6038179305981622,0.6462447063962125,0.7600050765362417,2,0.0004439567439268961,4,mse,recon+kl,0.2820177367066455,False,1e-05,0.5156149600802347,0.5233626298591941,0.5232736559655728,0.5280357585555123,0.8503345997015661,0.8446522344437105,elu,scaffold,512,0.39364680343716085,12,5.0,5.0,-5.0,0.3934523539646893,5,934,5.0,"[934, 563, 363, 275]","[42, 43, 44, 45]",117,0.6027837259100642,0.6447602131438721,0.7575757575757576,2,0.0004439567439268961,4,sgd,mse,120,recon+kl,0.683909430621179,0.0011571152301212617,0.5280704666651613,0.00018360923786351585,0.6829747798909004,0.5156149600802347,0.2820177367066455,False,0.5232736559655728,0.5280357585555123,0.5232736559655728,1e-05,COMPLETE
4,0.6931218905297107,elu,512,1.1375582460015305,7,6.0,0.23306843514456188,799,5.0,18,0.7828210006129415,,,5,0.0017824536581493996,2,huber,recon+kl,0.5341074597943604,True,0.0001,0.5333979689184688,0.5412778211739403,0.5225799665437932,0.527292628673738,0.8506994755767808,0.8448601743890667,elu,scaffold,512,1.1375582460015305,7,6.0,6.0,-6.0,0.23306843514456188,2,799,5.0,"[799, 625]","[42, 43, 44, 45]",18,0.7822277847309136,,,5,0.0017824536581493996,2,sgd,huber,120,recon+kl,0.6931218905297107,0.0010881502108877172,0.527430343866958,0.0008677603027704746,0.6920487222476248,0.5333979689184688,0.5341074597943604,True,0.5225799665437932,0.527292628673738,0.5225799665437932,0.0001,COMPLETE
5,0.7839514405173857,relu,128,1.9353680216575784,3,5.0,0.2613459485412163,585,,16,,,,5,0.0011565851294673551,1,mse,recon,0.8032563467344402,True,1e-06,0.719471145432889,0.7314714262730951,0.5756008945489717,0.5850475699560251,0.8417075272701955,0.8379334735652688,relu,scaffold,128,1.9353680216575784,3,5.0,5.0,-5.0,0.2613459485412163,2,585,,[585],"[42, 43, 44, 45]",16,,,,5,0.0011565851294673551,1,sgd,mse,120,recon,0.7839514405173857,0.012412590592121952,0.5840469738174134,0.018612987090201618,0.7805893363515423,0.719471145432889,0.8032563467344402,True,0.5756008945489717,0.5850475699560251,0.5756008945489717,1e-06,COMPLETE
6,0.7110835504317508,elu,64,1.9586915934766993,3,6.0,0.15007421099311924,582,1.0,127,0.8131546808549281,0.5027727042034522,0.7424547217212796,3,0.0003335500512764793,4,mse,recon,0.253560524051578,False,0.0,,,,,,,elu,scaffold,64,1.9586915934766993,3,6.0,6.0,-6.0,0.15007421099311924,3,582,1.0,"[582, 473, 237, 175]","[42, 43, 44, 45]",127,0.8127147766323024,0.5010570824524313,0.7383966244725738,3,0.0003335500512764793,4,sgd,mse,120,recon,,,,,,,0.253560524051578,False,,,,0.0,PRUNED
7,0.7142894639880062,elu,128,0.1023450253648446,1,8.0,0.3108649846282409,89,1.0,23,0.9437967302338874,0.508059315211687,,5,0.0005048304188888196,3,huber,recon,0.5666625534246501,True,1e-10,0.580244241599726,0.5858314645934356,0.5281602567359311,0.53174887946169,0.8498238939035565,0.8442487177551224,elu,scaffold,128,0.1023450253648446,1,8.0,8.0,-8.0,0.3108649846282409,2,89,1.0,"[89, 83, 42]","[42, 43, 44, 45]",23,0.9325842696629213,0.5060240963855421,,5,0.0005048304188888196,3,sgd,huber,120,recon,0.7142894639880062,0.002730006053784369,0.531682638571356,0.0008131124264477785,0.7150340677516412,0.580244241599726,0.5666625534246501,True,0.5281602567359311,0.53174887946169,0.5281602567359311,1e-10,COMPLETE
8,0.6851798929702451,gelu,256,0.2843123798463446,10,5.0,0.07934627561068766,545,5.0,120,0.5017661054831242,0.7404445219374811,,8,0.0014147335594241423,3,mse,recon,0.23010881616765388,False,1e-10,,,,,,,gelu,scaffold,256,0.2843123798463446,10,5.0,5.0,-5.0,0.07934627561068766,2,545,5.0,"[545, 273, 202]","[42, 43, 44, 45]",120,0.5009174311926605,0.73992673992674,,8,0.0014147335594241423,3,sgd,mse,120,recon,,,,,,,0.23010881616765388,False,,,,1e-10,PRUNED
9,0.6478680135706503,leakyrelu,512,0.7175251725080278,12,3.0,0.08620217891026392,413,2.0,89,0.7822851712980718,0.5956678603602783,,6,0.007931301977854554,3,huber,recon+kl,0.2256043089888526,True,1e-08,0.46231502650341244,0.46715904258421914,0.5209864218229305,0.524792189419898,0.8366006856828887,0.8286698041268927,leakyrelu,scaffold,512,0.7175251725080278,12,3.0,3.0,-3.0,0.08620217891026392,2,413,2.0,"[413, 323, 192]","[42, 43, 44, 45]",89,0.7820823244552058,0.5944272445820433,,6,0.007931301977854554,3,sgd,huber,120,recon+kl,0.6478680135706503,0.0012391942293315914,0.5247368122707883,0.0006412831261380055,0.6494578560931505,0.46231502650341244,0.2256043089888526,True,0.5209864218229305,0.524792189419898,0.5209864218229305,1e-08,COMPLETE
